"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"g__Megamonas"	1470	1575	1020	1748	699	1818	823	593	422	1327	1051	1514	924	1514	2062	783	705	769	622	1334	1675	777	1263	78	261	412	393	1569	456	598	1004	491	649	903	336	560	1712	617	1057	815	944	693	656	1073	1067	2442	421	1050	1142	904	532	1406	932	590	1707	219	1497	2027	1380	1010	1099	43	418	410	378	495	1239	644	738	501	473	965	439	689	751	342	1184	948	373	857	222	1073	405	699	626	95	1570	479	364	893	638	1017	724	627	1007	1812	817	404	207	1044	177	1528	70	1747	661	1367	1330	623	1196
"g__Phascolarctobacterium"	809	606	283	290	691	605	455	835	463	582	574	497	877	308	298	1326	1015	752	752	767	621	1230	495	278	63	1054	1357	521	726	611	1036	650	710	1021	180	1043	465	519	836	1121	568	571	964	449	610	345	533	653	390	737	596	567	1302	809	704	376	829	1593	688	745	463	81	529	559	189	317	571	628	654	987	1032	667	663	506	1033	924	327	609	693	1045	956	719	760	1209	1157	221	380	1119	581	1309	1113	790	692	435	230	382	654	954	513	1912	713	448	156	549	606	695	1548	381	921
"g__Megasphaera"	310	425	62	140	66	154	202	106	79	307	156	225	578	418	445	476	633	540	366	395	592	320	444	64	84	134	426	617	232	125	393	1273	575	387	99	5	697	257	316	428	880	482	473	533	152	278	164	417	244	758	251	437	1185	274	242	66	345	376	211	155	418	60	203	261	54	440	157	397	415	399	366	664	406	682	274	155	346	1189	627	429	153	394	1311	405	555	28	396	961	237	341	496	719	90	208	244	286	299	590	272	357	318	536	41	911	554	707	1731	424	211
"g__Phocaeicola"	260	297	478	277	394	442	231	662	157	83	342	153	186	168	538	511	708	320	211	239	286	566	244	851	610	596	660	127	182	326	310	245	155	256	132	67	233	178	124	560	114	115	905	134	631	235	166	152	67	110	46	407	279	925	221	258	178	784	495	334	271	86	1323	1250	162	207	382	856	331	724	690	166	111	83	507	919	331	106	143	315	899	369	100	48	280	161	154	93	93	270	328	126	347	835	180	121	593	287	367	503	427	259	2007	72	163	279	158	295	404
"g__Shigella"	2	0	7	174	264	142	0	53	1378	0	91	273	1	133	0	6	3	0	52	12	0	1	0	1	2	1048	27	0	529	1378	358	67	514	142	2644	0	0	928	104	19	0	782	2	398	14	1	3	188	1149	11	68	31	792	3	41	1683	13	73	27	74	0	18	1	5	32	232	31	4	113	1	22	0	671	370	0	11	802	1	110	0	117	255	55	44	18	1938	1027	17	761	27	44	0	375	36	1685	801	105	0	335	9	0	159	7	0	151	0	0	33	0
"g__Oribacterium"	212	177	91	181	69	177	87	166	62	158	190	120	226	221	134	226	256	152	260	119	198	127	120	79	33	132	427	222	529	91	165	214	293	147	75	155	129	266	99	242	256	253	258	356	112	147	54	378	107	593	108	160	712	312	141	63	259	978	253	166	197	32	117	201	60	237	137	222	230	386	402	267	331	160	130	134	176	274	746	131	166	268	280	203	210	23	83	407	233	289	237	287	147	150	164	163	279	404	144	378	206	117	72	139	315	293	1063	366	192
"g__Segatella"	330	0	4	5	25	17	31	16	20	9	8	19	33	38	0	18	17	56	314	107	0	34	57	984	112	10	11	36	249	17	35	285	289	69	19	564	37	159	60	15	99	140	22	281	24	1	78	136	36	210	28	52	513	41	243	14	11	68	27	8	48	1035	85	56	12	829	24	80	63	33	22	47	242	407	512	52	24	42	273	506	61	18	214	776	334	4	5	235	598	9	243	32	20	60	6	3	28	55	128	153	69	13	5	4	303	71	85	618	15
"g__Anaerobiospirillum"	0	0	1	0	25	0	0	0	67	0	0	33	0	129	0	1	0	0	912	72	2	0	0	0	2	1	1	0	0	0	0	304	0	175	0	1157	0	0	697	1	1	0	0	0	1	0	1982	490	0	75	1895	0	606	0	0	0	0	1	0	0	0	835	0	0	0	5	0	0	0	1	1	0	166	2	0	0	0	0	117	0	0	0	145	1	0	0	0	39	0	1	0	0	0	0	0	1	1	0	0	1531	0	0	0	0	248	0	0	0	0
"g__Bacteroides"	30	72	77	33	139	36	1169	234	56	350	122	61	233	37	84	50	108	268	41	49	52	81	238	121	520	59	94	108	53	85	50	42	20	51	27	18	59	35	33	74	28	19	75	28	180	38	69	27	14	21	15	67	77	106	70	92	49	111	72	100	171	59	149	247	43	39	107	99	187	174	191	126	25	13	127	374	83	34	45	61	393	77	30	10	80	53	26	17	44	42	67	70	108	234	43	33	144	94	124	190	409	63	329	19	48	25	69	52	119
"g__Parabacteroides"	12	53	17	13	49	15	153	105	28	75	60	38	105	112	142	22	37	153	72	187	104	100	145	43	385	48	58	60	106	101	42	101	85	129	23	0	114	85	119	33	56	80	54	76	165	167	90	86	30	51	32	87	205	85	20	51	85	55	37	41	291	197	75	78	26	236	68	49	406	89	68	175	92	158	80	105	145	97	137	80	123	124	131	101	128	40	35	170	146	22	65	64	60	307	32	41	66	184	198	200	492	60	185	15	104	16	129	264	40
"g__Prevotellamassilia"	111	0	22	15	23	45	0	108	43	0	70	58	0	80	0	117	69	0	82	116	0	222	0	516	0	51	45	0	73	126	122	76	72	63	49	1	0	45	105	99	0	69	125	38	112	0	168	65	32	60	34	118	153	136	0	30	0	142	134	59	0	570	478	172	20	404	70	464	0	169	108	0	97	204	0	143	0	0	50	0	181	0	65	202	0	19	0	53	123	46	0	0	60	359	0	0	182	0	305	227	0	0	523	18	79	103	0	239	70
"g__Escherichia"	4	0	9	167	167	5	0	0	751	0	1	165	0	78	0	1	0	0	22	4	0	3	0	0	1	23	0	0	362	27	5	32	339	84	163	0	0	600	74	23	0	505	0	235	1	1	2	92	679	5	37	5	380	0	26	860	0	204	82	41	0	6	4	14	16	152	13	14	5	5	62	0	393	223	0	4	7	0	53	0	52	15	30	26	1	991	22	9	441	21	0	0	211	22	14	3	134	0	189	6	0	5	8	1	59	0	0	17	0
"g__Blautia"	59	131	59	95	131	47	46	287	52	195	546	268	51	224	85	64	90	18	35	63	114	68	67	2	38	72	61	39	42	142	88	35	34	149	62	42	32	26	44	7	14	34	64	103	329	56	9	27	11	80	23	88	73	34	42	50	82	119	55	214	75	2	18	19	138	43	159	30	21	22	52	35	18	174	33	56	21	3	43	29	37	13	17	16	25	16	14	32	35	31	43	99	109	114	57	48	106	20	24	114	30	24	8	54	50	32	66	46	244
"g__Fusobacterium"	26	103	1500	332	790	149	191	13	183	56	27	185	11	1	0	5	0	23	3	2	3	0	121	14	53	5	0	96	0	0	10	0	0	3	3	1	51	0	2	202	15	0	8	0	0	1	7	0	0	0	13	5	0	27	180	12	90	98	52	27	114	0	37	62	5	0	21	4	71	7	2	47	7	0	112	27	21	16	1	17	4	37	0	0	14	1	28	0	2	37	57	48	25	7	30	18	80	19	1	192	10	79	18	3	54	25	140	2	15
"g__Enterobacter"	0	0	0	1	6	1	0	0	3	0	0	5	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	67	0	0	0	3	0	64	46	381	0	0	4	11	2524	0	441	9	0	0	1	0	0	0	0	168	0	0	0	0	67	0	0	0	0	247	0	0	0	1	0	0	510	18	0	0	4	0	794	0	4	82	0	0	1	0	0	0	0
