"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"lambchop_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"g__Megamonas"	877	1083	1437	2328	74	601	508	848	1	966	1099	440	1058	797	618	174	13	561	721	794	1638	745	721	61	411	1173	881	734	764	772	580	759	1263	113	751	1382	1280	1024	975	838	31	712	891	814	554	11	365	0	535	50	903	23	406	607	134	1054	397	542	411	376	1354	818	1674	600	839	547	828	567	1233	1239	530	553	117	346	658	198	1467	709	1177	524	743	1577	1225	292	375	945	439	36	698	828	404	871	572	618	392	1608	1183	1527	551	643	101	289	877	1243	1491	233	1304	583	1209	573	725	343	1299	862	293	1126	849	111	452	739	64	157	2800	312	665	578	712	103	1345	547	492	1094	674	584	994	69	1099	282	1216	291	1036	999	878	101	200	1040	352	544	1263	357
"g__Phascolarctobacterium"	591	374	300	284	64	780	520	0	2	138	947	637	0	728	917	113	203	1474	611	639	486	609	432	416	1148	491	715	608	1217	962	458	756	1732	804	377	1023	757	631	947	545	234	1162	443	711	1027	157	767	0	948	263	1725	55	436	792	366	502	448	1052	863	454	320	477	1649	893	1214	500	756	549	314	339	471	713	298	537	939	913	333	991	575	330	464	177	453	397	406	876	663	114	781	810	926	678	526	167	596	354	955	658	1001	389	581	847	394	706	659	521	607	790	816	735	588	717	498	640	1194	771	642	420	717	633	210	613	1257	699	415	262	713	305	828	833	207	793	724	908	768	398	1174	486	581	492	421	457	330	257	51	406	95	801	701	411
"g__Anaerobiospirillum"	73	747	0	0	9	106	9	0	0	2415	0	0	0	3	0	872	2329	0	118	408	945	6	117	3188	0	0	983	5	0	119	842	0	1	2399	0	2	0	0	1102	0	3423	0	1487	74	310	3546	415	1	0	3417	464	0	0	302	2495	0	0	14	1311	0	0	101	217	821	36	1623	751	56	800	0	0	687	2859	1211	690	210	1	521	38	2045	51	0	0	1459	2438	1	85	3516	0	0	213	252	751	0	135	0	0	0	241	1520	0	780	0	71	0	2652	43	219	41	0	39	194	24	1131	1	0	340	2943	449	13	3484	1	0	1	14	792	0	3139	54	1404	1378	0	394	413	0	0	58	564	27	0	0	346	1	0	1	1	0	42	0	675
"g__Megasphaera"	471	363	34	316	169	635	497	311	2	0	526	201	1508	604	444	53	9	412	983	261	0	614	560	41	477	322	563	484	453	408	490	647	1167	95	301	323	911	284	198	536	32	447	389	385	442	36	573	0	598	51	1381	23	369	728	187	801	203	341	268	141	1404	1411	1425	225	220	550	247	772	713	1687	443	200	193	173	193	364	1203	274	198	485	1475	1389	438	281	161	95	818	75	982	368	795	1198	837	26	901	1454	858	355	474	531	316	189	1526	472	1095	251	934	146	412	828	637	223	1020	385	237	909	868	109	408	904	66	1381	1755	787	268	231	447	53	331	269	276	1000	920	730	1003	262	404	325	971	264	623	755	748	82	32	32	247	882	326	325
"g__Segatella"	559	500	83	142	1383	327	962	0	2	0	422	0	0	556	0	31	13	506	200	506	298	719	375	22	355	16	349	587	1006	386	531	325	0	11	275	734	343	295	197	470	7	158	226	640	480	14	366	1	112	10	413	1535	342	320	323	339	0	1356	205	0	230	68	508	599	1062	169	605	497	78	212	0	894	62	635	1014	709	0	629	1304	146	265	58	0	131	178	32	460	18	135	0	339	270	82	21	351	164	103	0	732	70	214	131	188	127	203	23	91	1199	952	461	348	1125	777	168	713	366	393	47	308	254	9	430	526	1	2077	51	0	9	465	217	77	393	200	330	350	447	223	340	628	573	1	290	525	192	2246	68	82	471	782	177
"g__Shigella"	499	204	223	2	0	122	170	1193	247	180	0	1	491	115	0	1476	6	2	0	0	1	29	407	0	190	403	0	57	0	55	293	180	1	0	507	57	1	166	0	102	0	27	0	1	97	0	169	3488	398	0	462	1	462	34	18	0	0	3	0	1	0	64	59	0	2	14	1	55	7	0	8	0	0	0	0	1	0	0	4	6	3	154	0	482	0	2	0	0	3	0	43	4	379	2	0	0	5	38	1	97	1285	1107	3	0	1	0	0	0	2	1	0	0	0	2	1	1	1	0	255	0	0	1	0	0	10	1428	0	0	0	0	1064	0	205	44	1	1220	231	376	18	3	367	191	3123	1340	301	1040	1930	48	1713	437
"g__Phocaeicola"	63	36	146	133	135	161	147	0	1	21	143	835	0	93	425	113	789	304	132	137	49	151	116	132	310	602	22	298	110	118	24	184	759	159	332	150	66	286	74	194	110	370	17	176	66	43	65	2	185	49	117	96	379	56	30	236	1447	126	222	814	198	17	163	121	52	85	91	264	51	109	897	174	49	219	31	259	181	150	133	41	166	88	829	42	36	168	259	54	139	823	132	43	47	39	201	37	200	558	88	46	68	50	60	238	59	31	128	208	65	111	247	301	33	94	111	102	81	96	155	128	41	239	233	851	129	55	680	143	78	81	61	68	50	64	262	115	26	20	14	672	233	59	27	119	244	39	8	508	665	496
"g__Oribacterium"	72	169	39	218	36	100	281	0	2	7	83	97	0	252	242	23	12	141	460	81	25	370	374	37	220	160	180	197	173	297	199	179	381	181	87	1	313	188	156	411	49	317	126	440	342	66	400	1	213	48	862	33	157	294	189	220	109	107	115	125	120	370	865	152	178	147	98	325	105	176	121	105	205	90	95	257	152	158	43	144	227	121	70	224	59	76	305	60	209	291	253	168	247	17	498	202	184	121	96	211	89	104	73	335	218	118	283	126	55	188	277	87	49	111	290	379	249	82	194	280	49	132	565	334	42	82	289	73	172	114	84	350	98	295	71	61	168	190	100	266	126	273	195	61	9	31	97	142	27	209
"g__Escherichia"	317	121	122	1	0	62	296	1553	154	100	0	0	666	218	0	920	9	3	2	0	0	28	256	1	225	142	0	109	0	35	174	278	2	0	611	110	1	237	0	141	0	34	0	1	67	0	91	1873	473	0	318	0	626	19	10	0	1	7	0	1	0	36	67	0	3	10	0	78	7	0	11	0	0	0	0	0	0	0	6	4	0	167	0	305	0	3	0	0	6	1	30	5	231	2	0	0	8	67	0	68	724	43	1	0	0	0	0	0	13	3	0	0	1	1	0	2	0	0	154	0	0	4	0	1	40	94	0	0	0	1	26	0	154	36	1	721	54	1093	11	3	247	119	1806	853	160	662	1066	46	956	239
"g__Sutterella"	71	51	37	111	247	133	70	11	0	94	220	72	99	39	51	59	154	33	105	76	104	91	54	3	50	21	38	133	38	70	43	92	108	2	142	44	49	105	47	175	8	54	130	42	79	8	86	0	124	7	319	95	169	98	20	172	124	96	20	339	60	31	171	73	45	24	75	149	18	58	130	110	3	63	30	198	55	74	181	22	63	77	358	33	63	17	93	7	24	102	122	62	19	9	108	21	45	203	57	29	25	35	58	96	47	4	76	78	95	117	122	34	76	29	148	92	88	9	143	61	1	33	108	101	104	38	87	2	72	58	31	37	104	80	114	24	45	14	104	103	77	82	95	37	373	21	24	57	147	85
