"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"njc1"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc2"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0	0
"njc3"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0.03	0	0.03	0.01	0	0	0	0	0.03	0	0	0	0	0
"njc4"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0	0
"njc5"	0	0	0	0	0.03	0	0	0.83	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.5	0.15	0	0.1	0.03	0	0
"njc6"	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0
"njc7"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc8"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc9"	0	0.03	0	0	0.1	0	0	0.05	0.17	0.18	0.05	0	0.03	0.13	0	0.03	0.08	0	0.07	0	0.03	0.35	0	0.03	0.05	0.26	0.03	0.05	0.08	0.03	0.03	0.22	0.03	0.05
"njc10"	37.5	42	29.34	27.56	47.86	24.81	30.31	43.06	59.8	46.62	52.51	22.29	27.35	44.28	24.74	4.13	24.47	1.73	24.38	28.61	20.2	18.18	21.82	30.87	35.28	19.82	27.54	43.49	30.73	16.25	26.31	21.05	22.85	33.27
"njc11"	0	0	0.03	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	1.5	0.05	0	0.03	0	0	0	0.2	0.08	0	0	0	0	0	0
"njc12"	0	0.28	0.05	0.03	0	0.25	0	0.35	0.05	0.03	0.03	0.1	0.1	0.15	0	0	0.03	0	0	0.15	0.15	0.13	0.68	0	0	0.01	0.18	1.25	0	0.22	0.08	0.05	0	0.28
"njc13"	0	0	0.05	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0.15	0.12	0	0.03	0	0	0	0.05	0.93	0	0	0.04	0	0	0
"njc14"	0.15	1.1	10.78	0.38	3.78	7.33	4.5	5.9	0.8	0.68	6.9	1.45	34.58	3.43	31.37	0.4	10	0.78	0.38	44.81	28.1	1.45	27.33	33.61	0.13	1.29	31.59	22.9	40.34	1.4	18.09	10.65	4.78	0.25
"njc15"	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0.03	0	0.05	0.1	0	0.13	0.14	0	0	0.05	0.03	0.18	0	0.1	0.03	0	0
"njc16"	0	0.03	0	0	0.03	0	0	0.03	0.03	0.03	0.03	0	0	0.05	0	0	0.05	0	0.03	0	0	0.18	0	0.01	0.03	0.08	0.03	0.03	0.03	0	0	0.05	0	0.03
"njc17"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.15	0	0	0	0.45	0	0.6	0	0	0.08	1	0.25	0	0.07	0	0	0	0
"njc18"	0.28	1.43	0.4	0.6	0.28	1.13	0.18	1.45	0.45	0.2	9.55	3.9	0.65	3.3	0.15	0.78	8.7	0.35	1.23	0	1.27	1.79	2.13	0.4	0.3	0.86	3.33	0.85	0.08	0.25	0.34	3.1	2.65	1.73
"njc19"	0	0	0	0	0.03	0.1	0	0.05	0	0.03	0	0.03	0.05	0	0	0.03	0	0	0.03	0	0	0.09	0.03	0.01	0	0.06	0	0.03	0	0	0	0.03	0.03	0
"njc20"	0	0	0.05	0	0	0	0	0.9	0.05	0	0	0	0	0	0	0	0	0	0	1.55	0.17	0	0.05	0	0	0	0.25	1.45	0	0	0.04	0	0	0
"njc21"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc22"	0	0.05	0.05	0	0	0.03	0.03	0.4	0	0	1.98	0.03	0	0.85	0	0.03	0.35	0	0.03	0	0.5	0.01	0.63	0	0	0.16	1.18	0.25	0	0.07	0.01	0.15	0	0.03
"njc23"	0.58	2.85	0.83	32.78	5.73	19.71	0.75	21.69	3.4	2.65	4.83	0.45	4.7	1.78	0.65	0.35	1.43	0	0.22	0.15	0.38	2.88	1.3	0.19	0.83	2.68	2.23	3.45	0.15	2.38	12.58	0.48	0.22	0.68
