"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc4"	"1,3-Propanediol -- Production"
"njc5"	"4-Aminobutyrate (GABA) -- Production"
"njc6"	"5-Aminovalerate -- Production"
"njc7"	"7-Oxodeoxycholic acid -- Production"
"njc8"	"7-Oxolithocholic acid -- Production"
"njc9"	"Acetate -- Consumption"
"njc10"	"Acetate -- Production"
"njc11"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc12"	"Acetone -- Production"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc14"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc15"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc16"	"Arabinan -- Macromolecule"
"njc17"	"Arabinogalactan -- Macromolecule"
"njc18"	"beta-Muricholic acid -- Production"
"njc19"	"Biotin (Vitamin B7) -- Consumption"
"njc20"	"Biotin (Vitamin B7) -- Production"
"njc21"	"Butylamine -- Production"
"njc22"	"Butyrate -- Production"
"njc23"	"Cadaverine -- Production"
"njc24"	"Cellobiose -- Consumption"
"njc25"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc27"	"Cholic acid (Cholate) -- Consumption"
"njc28"	"Cholic acid (Cholate) -- Production"
"njc29"	"Choline -- Consumption"
"njc30"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc31"	"Citrate -- Consumption"
"njc32"	"CO2 -- Consumption"
"njc33"	"CO2 -- Production"
"njc34"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc35"	"D-Fructose (Fructose) -- Consumption"
"njc36"	"D-Fructuronate -- Consumption"
"njc37"	"D-Galactose -- Consumption"
"njc38"	"D-Galacturonate -- Consumption"
"njc39"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc40"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc41"	"D-Glucose (Glucose) -- Consumption"
"njc42"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc43"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc44"	"D-Mannitol (Mannitol) -- Consumption"
"njc45"	"D-Mannose (Mannose) -- Consumption"
"njc46"	"D-Psicose -- Consumption"
"njc47"	"D-Ribose (Ribose) -- Consumption"
"njc48"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc49"	"D-Tagatose -- Consumption"
"njc50"	"D-Tagaturonate -- Consumption"
"njc51"	"D-Xylose (Xylose) -- Consumption"
"njc52"	"Deoxycholic acid -- Production"
"njc53"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc54"	"Dimethylamine -- Production"
"njc55"	"Ethanol -- Production"
"njc56"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc57"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc58"	"Formaldehyde -- Production"
"njc59"	"Formate -- Consumption"
"njc60"	"Formate -- Production"
"njc61"	"FOS (Fructooligosaccharide) -- Consumption"
"njc62"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc63"	"Fumarate -- Consumption"
"njc64"	"Fumarate -- Production"
"njc65"	"Galactan -- Macromolecule"
"njc66"	"Glycerol -- Consumption"
"njc67"	"H2 (Hydrogen) -- Consumption"
"njc68"	"H2 (Hydrogen) -- Production"
"njc69"	"H2O2 -- Production"
"njc70"	"H2S (HS-) -- Production"
"njc71"	"Hemicellulose, not specified -- Macromolecule"
"njc72"	"Hippurate -- Consumption"
"njc73"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc74"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc75"	"Indole -- Production"
"njc76"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc77"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc78"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc79"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc80"	"L-Alanine (D-Alanine, Alanine) -- Consumption"
"njc81"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc82"	"L-Arginine (Arginine) -- Consumption"
"njc83"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc84"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc85"	"L-Fucose -- Consumption"
"njc86"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc87"	"L-Glycine (Glycine) -- Consumption"
"njc88"	"L-Histidine (Histidine) -- Consumption"
"njc89"	"L-Idonate -- Consumption"
"njc90"	"L-Isoleucine (Isoleucine) -- Consumption"
"njc91"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc92"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc93"	"L-Leucine (Leucine) -- Consumption"
"njc94"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc95"	"L-Methionine (D-Methionine) -- Consumption"
"njc96"	"L-Ornithine (Ornithine) -- Production"
"njc97"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc98"	"L-Proline (Proline, D-Proline) -- Consumption"
"njc99"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc100"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc101"	"L-Threonine (Threonine) -- Consumption"
"njc102"	"L-Threonine (Threonine) -- Production"
"njc103"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc104"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc105"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc106"	"Lactose -- Consumption"
"njc107"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc108"	"Lipoic acid (Lipoate) -- Consumption"
"njc109"	"Lithocholic acid -- Production"
"njc110"	"Maltose -- Consumption"
"njc111"	"Mannan -- Macromolecule"
"njc112"	"Melibiose -- Consumption"
"njc113"	"Menaquinone (Vitamin K2) -- Production"
"njc114"	"Methanol -- Production"
"njc115"	"Methylamine (Monomethylamine) -- Production"
"njc116"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
