"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"o__Bacteroidales"	2285	624	1357	11	22	719	1534	856	724	1042	740	537	1065	178	1022	822	491	1197	1193	710	840	1195	216	978	552	139	1191	2007	1145	2126	1833	272	1740	669	1378	1560	1424	1512	1219	1100	957	581	874	1257	466	1659	788	610	677	982	1709	745	552	1161	849	1037	280	244	829	667	572	1044	394	721	586	2272	623
"o__Acidaminococcales"	64	780	520	2	138	947	637	728	917	1474	639	486	609	416	1148	491	715	608	1217	458	756	1732	804	377	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692
"o__Selenomonadales"	74	601	508	1	966	1099	440	797	618	561	794	1638	745	61	411	1173	881	734	764	580	759	1263	113	751	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724
"o__Veillonellales"	176	653	515	1	1	527	204	627	465	415	275	1	641	45	477	331	583	497	453	498	649	1177	106	302	161	1507	436	63	248	212	279	55	479	162	384	416	429	214	429	385	680	427	730	294	1270	161	347	1221	673	454	159	397	1450	454	601	451	28	398	1093	978	1026	250	362	555	737	289	93
"o__Lachnospirales"	43	212	453	7	48	148	271	494	559	273	139	175	653	90	346	423	246	512	269	340	289	1261	315	168	714	589	481	48	222	222	383	390	369	564	377	348	404	76	631	694	497	461	427	327	237	369	294	426	1129	322	419	410	438	285	441	130	96	151	82	311	595	398	541	555	605	83	465
"o__Enterobacterales"	0	184	466	3910	280	0	1	334	0	5	0	2	57	1	415	547	0	166	0	467	458	3	0	1118	499	100	2	25	5	9	30	2581	387	491	1	48	118	10	7	85	0	1065	594	0	9	184	809	1	162	0	234	270	84	70	20	16	3183	1048	1	1	26	1203	49	44	0	50	1109
"o__Aeromonadales"	10	143	19	1	2432	59	85	11	81	59	430	971	28	3201	29	14	1003	23	23	852	32	157	2418	10	50	220	26	859	158	16	20	15	5	53	383	26	29	108	16	24	36	182	3	85	383	37	13	11	144	48	44	44	147	15	44	146	6	16	65	422	54	20	24	53	20	56	44
"o__Burkholderiales"	522	160	82	0	95	242	86	51	63	40	90	112	111	5	79	28	55	148	60	60	112	131	3	161	78	44	92	605	46	166	61	20	142	90	240	182	82	183	48	48	67	117	82	61	75	56	94	76	92	117	76	172	128	87	100	96	8	114	77	107	67	78	39	36	78	105	50
"o__Fusobacteriales"	0	581	4	0	2	23	345	19	197	56	817	39	11	0	40	84	0	18	14	0	34	597	0	28	27	1	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	2	28	11	0	0	2	37	57	48	22	25
"o__Eubacteriales"	2	27	50	4	6	62	74	66	103	19	19	23	67	3	9	72	18	87	1	26	10	276	17	10	143	13	54	5	3	70	94	75	25	105	11	82	42	6	136	144	75	53	40	69	4	167	76	64	48	129	152	90	23	16	81	5	53	33	2	6	45	50	94	123	104	2	105
"o__Coriobacteriales"	51	12	19	0	1	56	23	14	23	27	51	2	10	0	21	12	5	5	4	4	49	86	5	91	5	82	23	18	19	193	266	9	37	14	55	58	6	5	15	11	4	5	47	6	5	61	45	13	7	19	19	39	7	3	44	7	7	15	11	12	14	8	250	94	5	34	61
"o__Bifidobacteriales"	753	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"o__Pseudomonadales"	9	7	0	0	3	91	212	1	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Lactobacillales"	0	2	0	41	1	17	9	0	39	19	2	7	0	0	0	0	2	0	1	1	11	75	3	2	0	2	0	0	6	0	1	1	2	4	0	1	0	11	1	1	0	0	4	1	0	1	1	0	0	2	0	0	5	0	17	41	5	1	25	5	1	2	7	0	0	5	0
"o__Pasteurellales"	0	6	1	21	2	5	39	0	104	2	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	1	0	0	0	2	0	0
"o__Anaeroplasmatales"	0	0	1	0	0	0	26	0	11	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	11	0	12	2	0	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	7	0	2	0	5	0	1	0	0	0	0	10	0	0	0	0	0	0	9	4	0	1
"o__Bacillales"	0	1	0	0	0	3	1	0	0	3	0	1	0	0	0	0	0	0	0	0	1	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	1	0	1	0
"o__Neisseriales"	0	2	1	0	2	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0
"o__Mycobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
"o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"o__Campylobacterales"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
"o__Cardiobacteriales"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
