"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"buddy_16"	"buddy_17"	"iris_17"	"ivy_17"	"kubo_17"	"lambchop_17"	"padme_17"	"wolverine_17"	"buddy_18"	"ginger_18"	"hamlet_18"	"hera_18"	"iris_18"	"ivy_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"franc_19"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"ginger_20"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"buddy_21"	"hamlet_21"	"jarjarbinks_21"	"joans_21"	"korra_21"	"kubo_21"	"franc_22"	"goose_22"	"grogu_22"	"hamlet_22"	"henry_22"	"hera_22"	"iris_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"iris_23"	"korra_23"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"hera_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"lambchop_25"	"ginger_29"	"henry_29"	"jarjarbinks_29"	"joans_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"ginger_41"	"grogu_41"	"hamlet_41"	"hera_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"ophelia_43"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"iris_44"	"ivy_44"	"jarjarbinks_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"hamlet_45"	"henry_45"	"hera_45"	"ivy_45"	"jarjarbinks_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"buddy_46"	"charles_46"	"goose_46"	"hamlet_46"	"iris_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"hamlet_48"	"henry_48"	"hera_48"	"iris_48"	"ivy_48"	"jarjarbinks_48"	"joans_48"	"korra_48"	"kubo_48"	"lambchop_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"iris_49"	"ivy_49"	"jarjarbinks_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"jarjarbinks_50"	"joans_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"kubo_52"	"marshmallow_52"	"franc_53"	"hera_53"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"iris_55"	"ivy_55"	"lambchop_55"	"ophelia_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"henry_59"	"iris_59"	"ophelia_59"	"korra_6"	"padme_6"	"iris_60"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"hera_67"	"ivy_67"	"franc_68"	"jarjarbinks_68"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"o__Bacteroidales"	755	522	738	603	347	649	670	379	328	560	1912	1158	318	610	618	337	2285	624	930	1356	449	1	12	772	22	719	738	960	1302	1534	738	742	0	461	856	723	1057	1183	199	2541	1826	1079	1043	573	775	893	602	675	698	738	576	769	537	632	603	1066	660	178	257	1023	761	737	820	524	484	491	798	1041	430	1198	1193	721	711	840	1209	1195	574	216	1212	470	979	627	885	524	977	475	351	179	458	169	759	1304	918	173	821	338	985	747	95	1316	559	640	462	445	2	433	84	1175	779	639	3113	1143	584	426	868	2325	1548	553	685	1011	615	139	1192	1026	2006	1046	1145	400	1036	1135	312	2126	436	1832	1197	272	1464	1739	162	669	1365	1195	1380	1560	1424	239	1019	1511	250	671	245	1051	306	278	909	1246	129	1217	508	1099	956	1103	581	689	873	1258	466	216	1658	787	185	966	260	601	611	729	676	1236	982	224	1709	748	685	274	472	892	352	98	538	550	1785	1161	850	1036	281	243	980	1239	2064	829	508	1409	590	667	224	572	1044	802	1195	394	720	84	1001	1047	586	1243	2272	625	218	1074	228	775	489	243	1890	303	551	355	230	545	1037	898	1116	1183	1362	853	1986	377	440	497	757	1922	3083	129	347	460	731	666	503	1114	712	2666	218	103	1074	1520	997	1501	671
"o__Selenomonadales"	1470	1575	877	1020	1748	699	1083	1437	2328	1818	822	593	422	1327	1051	1514	74	601	924	508	1514	848	1	2062	966	1099	783	705	769	440	622	1334	1058	1675	797	618	777	1263	174	78	261	13	561	721	412	393	1569	456	598	794	1004	491	1638	649	903	745	721	61	336	411	560	1712	1173	617	1057	881	815	944	693	734	764	772	580	759	656	1263	1073	113	1067	2442	751	421	1382	1280	1024	1050	975	1142	904	532	1406	932	838	31	712	891	814	554	11	590	1707	365	219	1497	0	535	50	2027	1380	903	23	406	607	134	1054	397	542	1010	411	376	1354	818	1099	1674	43	600	839	547	828	567	1233	418	1239	410	530	378	553	495	117	1239	346	658	198	644	738	1467	709	1177	524	743	1577	1225	292	375	945	439	36	501	698	473	965	828	439	404	689	751	871	572	342	1184	618	392	1608	1183	948	1527	373	551	857	643	222	1073	101	289	877	1243	1491	233	1304	405	583	699	626	1209	95	1570	573	725	343	1299	862	293	1126	849	111	479	364	452	739	893	638	64	157	2800	1017	312	665	724	578	712	103	1345	547	492	627	1007	1094	674	1812	584	817	994	404	207	1044	69	177	1099	282	1528	1216	291	70	1747	1036	999	661	878	1367	1330	101	200	1040	352	544	1263	357	623	1196
"o__Acidaminococcales"	809	606	591	283	290	691	374	300	284	605	455	835	463	582	574	497	64	780	877	520	308	0	2	298	138	947	1326	1015	752	637	752	767	0	621	728	917	1230	495	113	278	63	203	1474	611	1054	1357	521	726	611	639	1036	650	486	710	1021	609	432	416	180	1148	1043	465	491	519	836	715	1121	568	571	608	1217	962	458	756	964	1732	449	804	610	345	377	533	1023	757	631	653	947	390	737	596	567	1302	545	234	1162	443	711	1027	157	809	704	767	376	829	0	948	263	1593	688	1725	55	436	792	366	502	448	1052	745	863	454	320	477	463	1649	81	893	1214	500	756	549	314	529	339	559	471	189	713	317	298	571	537	939	913	628	654	333	991	575	330	464	177	453	397	406	876	663	114	987	781	1032	667	810	663	926	506	1033	678	526	924	327	167	596	354	955	609	658	693	1001	1045	389	956	719	581	847	394	706	659	521	607	760	790	1209	1157	816	221	380	735	588	717	498	640	1194	771	642	420	1119	581	717	633	1309	1113	210	613	1257	790	699	415	692	262	713	305	828	833	207	435	230	793	724	382	908	654	768	954	513	1912	398	713	1174	486	448	581	492	156	549	421	457	606	330	695	1548	257	51	406	95	801	701	411	381	921
"o__Veillonellales"	335	425	496	71	154	70	373	36	319	167	206	109	83	320	159	238	176	653	587	515	435	340	2	444	1	527	483	644	545	204	378	423	1587	593	627	465	339	451	56	70	85	9	414	1023	143	443	625	254	129	275	405	1293	1	609	398	642	583	44	105	477	10	713	332	271	329	583	468	897	504	497	453	414	498	649	480	1177	559	106	156	279	301	172	456	911	284	433	214	259	803	277	454	1220	537	34	449	413	401	459	37	280	256	633	66	345	12	598	53	400	219	1518	22	368	809	222	805	205	401	162	274	145	1409	1507	436	1624	63	248	247	569	265	809	875	212	1691	279	447	55	212	481	210	162	176	204	382	416	429	1253	285	215	513	1519	1402	455	296	167	95	844	79	429	986	385	680	378	427	832	730	294	1270	853	161	348	27	940	1464	863	1221	359	674	485	454	549	160	396	350	198	1530	498	1095	266	970	1449	156	453	600	450	29	399	828	701	229	1092	411	237	911	978	117	1026	250	414	935	362	555	67	1401	1771	736	806	289	93	240	455	56	346	284	283	210	244	1013	1038	286	797	307	1011	600	274	391	281	333	420	338	542	1015	264	42	972	641	814	595	759	738	1792	86	35	32	265	905	330	352	441	215
"o__Enterobacterales"	7	0	817	16	343	438	325	360	4	148	0	56	2133	0	92	443	0	184	0	466	213	2745	3894	0	279	0	7	4	0	1	74	17	1157	0	334	0	4	0	2397	2	5	17	5	1	1071	27	0	895	1406	0	363	98	2	853	230	57	664	1	2807	415	0	0	547	1528	179	0	50	0	1288	165	0	90	467	458	4	3	633	0	14	2	1118	5	167	2	402	280	0	1828	16	113	116	1172	244	0	61	0	2	164	0	3	68	260	2546	13	5362	871	0	343	155	780	1	1088	53	28	23	1	10	499	1	448	0	99	1	134	25	0	5	24	1	133	15	9	0	30	661	2582	0	384	0	491	0	2	2	48	118	2	0	10	10	3	322	0	788	0	473	0	0	8	9	85	0	1	1065	73	595	0	9	610	184	809	2039	0	1	12	1	105	163	1	0	165	236	270	2010	1151	399	0	1	0	0	84	0	70	19	15	3183	1048	177	0	0	1	3	15	3	1	0	26	1203	539	0	49	44	0	9	0	0	1	50	1108	1522	0	0	0	2	1090	92	1699	0	366	804	80	248	14	0	1347	15	1942	6	285	1527	254	29	7	15	1	614	310	211	4930	0	0	2193	462	1703	2998	94	2669	676	50	0
"o__Aeromonadales"	41	76	76	20	30	66	778	22	35	38	23	32	139	23	33	63	10	143	37	19	144	0	1	24	2432	59	45	30	24	85	932	94	0	25	11	81	35	26	890	19	10	2371	59	260	102	62	23	65	26	430	63	309	971	10	222	28	219	3201	8	29	1192	16	14	43	742	1003	30	5	15	23	23	343	852	32	29	157	14	2418	37	14	10	2022	2	34	18	504	1129	11	106	1922	62	659	10	3436	47	1556	95	417	3579	24	45	604	14	32	1	38	3429	258	78	484	1	24	562	2508	8	37	60	50	1340	98	2	220	25	285	859	889	158	1650	860	80	809	16	5	20	41	15	762	5	2871	53	1257	708	383	26	29	24	645	108	2057	71	4	20	1477	2505	75	97	3530	16	18	24	36	31	182	289	3	85	383	764	37	13	8	150	3	20	11	25	144	494	48	1529	44	44	14	798	19	84	4	2664	57	147	365	15	44	146	6	16	41	51	454	65	1175	28	10	422	2955	54	20	458	16	24	54	3489	37	44	20	22	56	44	863	48	3145	344	1466	1458	38	55	18	540	25	546	21	20	30	21	1670	3	26	224	586	35	129	18	16	13	47	378	272	25	43	65	9	2	11	4	71	63	696	4	55
"o__Lachnospirales"	402	427	220	345	603	438	261	398	436	363	245	837	181	836	1162	566	43	213	541	451	662	0	7	312	48	148	473	476	346	271	377	355	0	449	495	559	329	335	47	109	98	15	273	643	342	703	435	762	357	140	393	312	175	429	455	649	626	91	212	346	283	243	424	392	243	246	369	399	385	512	268	550	340	289	472	1257	613	315	683	296	168	127	3	419	360	503	246	152	848	218	452	1089	589	75	540	197	731	495	99	555	321	580	218	489	0	332	89	1651	441	1374	49	268	456	257	401	282	125	713	235	360	181	594	479	1307	48	221	221	239	140	516	233	222	211	383	417	389	148	369	283	565	171	214	378	348	404	381	234	72	227	404	172	161	344	120	453	535	85	631	731	695	496	614	461	444	427	330	237	416	371	292	230	769	262	283	427	297	1126	134	323	416	421	411	190	200	179	446	324	185	413	439	177	285	442	131	95	151	344	439	134	82	254	545	466	311	131	595	398	350	386	541	555	67	282	848	606	629	84	465	231	725	128	248	198	173	434	336	464	136	325	412	623	100	629	275	1052	336	517	301	285	207	127	400	115	392	375	435	514	265	437	1644	485	17	342	144	290	62	358	583	717
"o__Burkholderiales"	62	67	79	30	25	41	65	37	113	84	63	45	30	18	30	30	522	160	30	82	67	13	0	25	95	242	43	79	40	86	71	73	102	36	51	63	96	34	79	750	463	255	40	127	24	40	61	133	51	90	34	51	112	47	20	111	64	5	19	79	137	22	28	73	39	55	49	27	81	148	60	85	60	112	47	131	42	3	44	42	161	36	51	66	131	65	51	29	87	16	97	197	195	10	73	146	50	99	9	69	53	113	16	36	2	156	13	188	87	362	280	193	119	32	199	134	96	78	26	357	63	44	92	208	605	88	46	44	97	160	32	166	64	61	140	20	135	142	6	90	75	40	240	182	82	64	98	184	39	72	81	373	65	73	18	112	12	48	33	48	67	108	117	148	82	61	75	22	56	95	9	124	22	64	76	208	92	74	117	36	76	171	32	42	60	109	52	8	88	128	117	87	100	96	8	114	127	136	44	77	36	168	107	107	16	67	78	166	69	39	36	4	38	122	78	132	104	50	45	118	7	89	70	37	91	36	51	120	27	101	43	135	121	60	66	29	91	68	35	202	127	121	344	15	86	103	115	99	122	174	41	412	22	28	59	147	110	205	43
"o__Fusobacteriales"	26	103	30	1500	332	790	27	904	123	149	191	13	183	56	27	185	0	581	11	4	1	0	1	0	2	23	5	0	23	342	3	2	0	3	19	192	0	121	27	14	53	0	56	2	5	0	96	0	0	816	10	0	39	0	3	11	6	0	3	40	1	52	84	0	2	0	202	15	0	18	14	13	0	34	8	597	0	0	0	1	28	7	1	1	19	0	49	0	0	13	5	0	30	0	95	0	24	12	0	27	180	3	12	90	1	69	0	97	52	113	0	25	0	0	55	91	149	27	61	435	1	0	114	1	0	0	94	0	0	1	0	37	0	62	2	5	0	0	0	21	15	4	57	4	71	20	0	115	0	4	0	167	0	29	42	0	0	7	7	2	48	15	7	47	0	112	1	0	27	20	14	0	0	6	16	22	1	0	17	0	3	37	5	37	4	0	0	0	0	0	0	0	14	21	1	28	23	6	0	11	16	19	1	0	0	0	2	0	0	37	57	0	28	0	48	2	22	25	9	1	0	1	35	1	7	30	0	1	19	8	80	31	19	0	192	19	11	0	0	80	1	129	18	3	129	3	54	0	25	140	79	0	68	0	71	1099	0	2	15
"o__Eubacteriales"	57	95	55	90	101	105	21	64	20	53	62	270	41	180	198	113	2	28	59	49	185	38	3	51	6	62	79	63	110	74	40	122	81	116	64	103	84	61	6	32	24	7	19	28	63	71	59	19	96	18	73	27	24	24	113	67	22	2	22	8	6	25	73	24	76	18	82	94	22	87	1	42	26	10	36	275	23	17	101	87	8	46	1	2	8	26	28	8	35	54	59	54	7	7	23	10	133	17	12	270	76	20	48	95	20	11	19	239	95	91	6	3	12	19	2	49	2	143	54	64	1	12	55	58	5	7	3	13	10	20	22	70	2	94	47	75	12	25	41	105	18	25	10	82	42	85	15	5	6	31	1	42	22	44	92	37	15	136	11	144	76	67	53	93	40	69	4	10	167	75	40	48	2	8	62	53	47	8	130	9	150	90	16	40	55	1	4	23	12	24	8	16	80	5	52	33	114	19	9	2	48	81	2	6	26	45	50	28	19	94	123	14	33	9	106	104	2	106	13	131	16	13	44	12	96	49	7	9	65	13	101	14	110	67	204	49	125	47	13	53	5	3	37	86	79	27	33	5	61	178	24	5	121	8	68	11	22	142	148
