index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,17,1405,99.5748,16.1843,32.8,1.76,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,16.184266477675408,1.8699933327032328,0.1155439040306648,0.25
1,NR_025514.1,1,1518,305,1509,99.4071,289.994,33.9,32.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,289.99407114624506,49.19146633416812,0.16962921393437966,4.48
2,NR_025518.1,1,1494,3,1446,96.7871,2.72624,25.6,26.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,2.7262382864792505,0.6550347994322194,0.24027055987030094,0.04
3,NR_025525.1,1,1475,1,1351,91.5932,0.915932,29.6,46.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9159322033898305,0.2774894631932562,0.3029585182901946,0.01
4,NR_025567.1,1,1498,22,1475,98.4646,20.9619,35.5,7.32,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,20.961949265687583,3.8166271666663065,0.18207405801299728,0.32
5,NR_025796.1,1,1435,1,1375,95.8188,0.958188,31.6,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9581881533101045,0.20015897723129028,0.2088931871468375,0.01
6,NR_025981.1,1,1477,1,1315,89.0318,0.890318,23.9,22.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.8903182125930941,0.3124927085839469,0.3509899091851632,0.01
7,NR_026100.1,1,1499,6,1449,96.6644,5.61975,34.6,1.33,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,5.61974649766511,1.1244316639191392,0.2000858338336645,0.09
8,NR_026312.1,1,1482,5,1367,92.2402,3.97166,30.4,29.4,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,3.97165991902834,1.5866365252610062,0.3994895226702024,0.07
9,NR_026331.1,1,1488,541,1488,100.0,526.403,37.2,11.3,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,526.4032258064516,66.64786729821614,0.1266099142840764,7.95
10,NR_026409.1,1,1495,1,1446,96.7224,0.967224,40.0,13.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.9672240802675586,0.1780495965121342,0.18408308906337525,0.01
11,NR_026493.1,1,1488,1,1432,96.2366,0.962366,30.3,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9623655913978495,0.1903104303271809,0.19775273765841142,0.01
12,NR_027549.1,1,1473,15,1451,98.5064,14.1962,32.5,1.87,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,14.196198234894773,2.115840542599486,0.14904275832093364,0.22
13,NR_028862.1,1,1537,81,1534,99.8048,77.7541,35.9,59.6,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,77.7540663630449,13.163232173466653,0.16929316740819228,1.19
14,NR_029097.1,1,1374,120,1322,96.2154,112.092,35.0,1.37,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,112.09170305676857,24.411001132367733,0.21777705634470415,1.76
15,NR_029356.1,1,1550,18,1454,93.8065,16.5671,34.1,46.6,292800,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,16.567096774193548,4.336084299820623,0.26172867575536296,0.26
16,NR_037088.1,1,1453,2,1431,98.4859,1.9415,30.0,1.0,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,1.941500344115623,0.2921636886345065,0.15048345961926193,0.03
17,NR_040877.1,1,1494,2,1468,98.2597,1.65395,28.1,0.5,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,1.6539491298527442,0.5109848878833444,0.30894837009215564,0.03
18,NR_041277.1,1,1490,2,1442,96.7785,1.8698,30.8,1.0,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,1.8697986577181207,0.4215192557300567,0.2254356392813297,0.03
19,NR_041313.1,1,1485,1,1444,97.2391,0.972391,37.9,5.0,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.9723905723905724,0.16385099058750707,0.16850326940612742,0.01
20,NR_041342.1,1,1488,91,1468,98.6559,87.6337,35.3,8.35,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,87.63373655913979,14.532763004819744,0.16583525449713402,1.34
21,NR_041343.1,1,1492,171,1485,99.5308,162.751,34.8,54.1,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,162.75067024128685,28.39971360409727,0.17449828969670678,2.51
22,NR_041351.1,1,1493,6,1459,97.7227,5.60281,28.8,11.8,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,5.602813127930341,1.137401706627404,0.20300546897725216,0.09
23,NR_041364.1,1,1488,1,1387,93.2124,0.932124,28.9,1.0,1002367,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Leyella,Leyella stercorea,0.9321236559139785,0.25153358821345595,0.2698500210970602,0.01
24,NR_041446.1,1,1456,4,1444,99.1758,3.73626,24.5,6.0,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,3.7362637362637363,0.6150165696894871,0.16460737600512745,0.06
25,NR_041590.1,1,1342,857,1312,97.7645,807.824,35.8,6.15,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,807.8241430700447,175.04017528572408,0.21668103978732747,12.59
26,NR_042152.1,1,1456,2,1358,93.2692,1.82555,26.0,0.0,168384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,1.8255494505494505,0.5278569312440009,0.2891496207265859,0.03
27,NR_042927.1,1,1471,1,1460,99.2522,0.992522,38.0,1.0,655813,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,0.9925220938137321,0.08615095533618507,0.08680003787638921,0.01
28,NR_043224.1,1,1455,14,1451,99.7251,13.3409,33.0,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,13.340893470790379,1.886999625487439,0.1414447712680554,0.21
29,NR_043657.1,1,1553,125,1524,98.1326,114.631,32.3,10.1,349095,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,114.63103670315519,25.577597853049518,0.22312977871154072,1.84
30,NR_044054.1,1,1438,1,1256,87.3435,0.873435,9.74,1.0,1121115,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia wexlerae,0.8734353268428373,0.3324846713245342,0.3806631826151912,0.01
31,NR_044289.1,1,1454,1,1368,94.0853,0.940853,26.7,1.0,460384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster lavalensis,0.9408528198074277,0.23589996029639299,0.2507299285606399,0.01
32,NR_044473.1,1,1399,10,1396,99.7856,9.37098,29.9,3.2,491921,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,9.37097927090779,1.2750595322823424,0.1360647052374521,0.15
33,NR_074376.1,1,1497,7,1469,98.1296,6.66333,32.8,0.143,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,6.663326653306613,1.2140121112755227,0.18219309579743936,0.1
34,NR_074515.1,1,1510,6,1450,96.0265,5.65364,34.6,21.8,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,5.65364238410596,1.2015042908173863,0.21251862236549765,0.09
35,NR_074902.1,1,1542,303,1508,97.7951,284.226,38.1,0.782,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,284.22632944228275,64.82030439517924,0.2280587605038968,4.45
36,NR_102980.1,1,1552,485,1527,98.3892,455.568,36.6,1.56,1064535,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,455.56765463917526,98.83520367108775,0.21694956317600844,7.12
37,NR_104803.1,1,1521,6,1452,95.4635,5.69231,34.1,5.17,39482,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena,Faecalicatena contorta,5.6923076923076925,1.2556250817123393,0.2205827846251407,0.09
38,NR_104826.1,1,1530,4,1464,95.6863,3.73007,26.3,0.0,624,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,3.7300653594771243,0.8523389555068737,0.22850509933862218,0.06
39,NR_104899.1,1,1480,1,1425,96.2838,0.962838,39.3,2.0,384636,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanisolvens,0.9628378378378378,0.18915902269147905,0.19645989725150106,0.01
40,NR_104901.1,1,1515,86,1485,98.0198,82.2231,36.8,0.767,621,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,82.22310231023103,15.116109288194334,0.1838426046144629,1.26
41,NR_112789.1,1,1468,2,1446,98.5014,1.82698,26.0,10.0,536633,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia glucerasea,1.826975476839237,0.4160045547699615,0.22770122535507215,0.03
42,NR_112899.1,1,1491,15,1442,96.7136,14.2401,35.5,0.133,742742,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,14.240107310529845,2.9756491700331553,0.20896255239824013,0.22
43,NR_112901.1,1,1469,2,1436,97.7536,1.93737,37.0,0.0,762983,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,1.9373723621511232,0.32192225712270217,0.16616436954084662,0.03
44,NR_112946.1,1,1489,25,1450,97.3808,23.8475,35.1,0.96,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,23.847548690396238,4.632381829996827,0.1942498111708377,0.37
45,NR_113015.1,1,1490,6,1446,97.047,5.55503,34.0,2.17,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,5.55503355704698,1.1928160938607733,0.21472707259303517,0.09
46,NR_113064.1,1,1490,72,1489,99.9329,68.306,34.6,1.0,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,68.30604026845637,13.19986896512094,0.19324599864437786,1.06
47,NR_113073.1,1,1481,1,1355,91.4922,0.914922,39.5,0.0,487174,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,0.9149223497636731,0.278997210858089,0.30494086293788175,0.01
48,NR_113094.1,1,1494,16,1457,97.5234,14.7523,30.4,0.0625,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,14.752342704149934,3.1604109421057993,0.21423112284510273,0.24
49,NR_113097.1,1,1480,9,1450,97.973,8.50946,30.3,4.44,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella buccae,8.509459459459459,1.5879332921279699,0.18660800955608986,0.13
50,NR_113110.1,1,1405,1,1197,85.1957,0.851957,31.2,1.0,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella maculosa,0.8519572953736655,0.3551423126484007,0.4168545942113642,0.01
51,NR_113122.1,1,1491,1,1412,94.7015,0.947015,19.1,1.0,185294,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella paludivivens,0.9470154258886653,0.22400269868368639,0.23653542757604562,0.01
52,NR_113164.1,1,1466,2,1418,96.7258,1.91132,33.3,1.0,147206,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,1.9113233287858118,0.3824884707374034,0.200117094254473,0.03
53,NR_113165.1,1,1466,6,1427,97.3397,5.77422,34.8,19.5,147207,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,5.7742155525238745,0.9980421994311819,0.1728446384366347,0.09
54,NR_113195.1,1,1490,23,1471,98.7248,21.4336,32.2,1.48,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,21.433557046979868,4.189786410571368,0.19547788551325582,0.34
55,NR_113231.1,1,1491,280,1490,99.9329,267.875,35.0,19.9,536633,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia glucerasea,267.8745808182428,44.447812235064575,0.16592769683220943,4.11
56,NR_113270.1,1,1493,1,1437,96.2492,0.962492,36.4,1.0,1121114,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia producta,0.9624916275954454,0.19000393260171092,0.1974084003996899,0.01
57,NR_113273.1,1,1469,21,1449,98.6385,20.1321,32.5,0.143,742742,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,20.13206262763785,3.396869163787028,0.16872931634554486,0.31
58,NR_113393.1,1,1528,4,1477,96.6623,3.79581,33.4,10.2,2741,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger,3.7958115183246073,0.7769137803297563,0.2046765959213565,0.06
59,NR_113410.1,1,1390,23,1380,99.2806,22.546,37.4,4.13,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,22.546043165467626,2.4167510799230922,0.10719180577214009,0.34
60,NR_113411.1,1,1493,635,1493,100.0,609.91,34.3,44.0,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,609.9102478231748,98.82087136338279,0.1620252680063722,9.33
61,NR_114042.1,1,1467,1,1423,97.0007,0.970007,23.3,0.0,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.9700068166325835,0.17056843881241585,0.17584251562741676,0.01
62,NR_114419.1,1,1497,1,1443,96.3928,0.963928,37.3,14.0,584,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus mirabilis,0.9639278557114228,0.18646968840806638,0.1934477640657487,0.01
63,NR_114807.1,1,1456,1,1238,85.0275,0.850275,9.59,0.0,168384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,0.8502747252747253,0.3568019294142294,0.4196313483256204,0.01
64,NR_115211.1,1,1485,1,1449,97.5758,0.975758,35.9,1.0,253257,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora amygdalina,0.9757575757575757,0.15380093988423638,0.1576220812478199,0.01
65,NR_116860.1,1,1455,12,1442,99.1065,11.1938,27.7,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,11.19381443298969,1.6931932315942895,0.15126150623010323,0.18
66,NR_117683.1,1,1530,1,1319,86.2092,0.862092,20.2,1.0,573,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,0.8620915032679739,0.3448039200199725,0.3999620906979211,0.01
67,NR_118128.1,1,1310,1,1285,98.0916,0.980916,33.7,1.0,1531,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,0.9809160305343512,0.1368202162514109,0.13948208816291693,0.01
68,NR_118316.1,1,1490,1,1438,96.5101,0.965101,38.5,51.0,1349822,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus,0.9651006711409396,0.18352483675036435,0.19016133988737335,0.01
