index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024570.1,1,1450,1,940,64.8276,0.648276,18.8,1.0,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.6482758620689655,0.47750839649968907,0.7365821009835629,0.02
1,NR_025230.1,1,1411,11,1408,99.7874,10.3225,18.1,4.36,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,10.322466335931963,1.262296798882836,0.12228635655500732,0.25
2,NR_025514.1,1,1518,282,1506,99.2095,265.132,19.4,32.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,265.1324110671937,45.14364706657344,0.1702683081440861,6.45
3,NR_025518.1,1,1494,913,1465,98.0589,842.907,19.3,40.8,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,842.9069611780455,183.51472236590718,0.21771646316626364,20.88
4,NR_025567.1,1,1498,8,1456,97.1963,7.58678,21.2,8.88,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,7.586782376502002,1.4285890532084742,0.18829972738286796,0.18
5,NR_025569.1,1,1494,1,1436,96.1178,0.961178,19.7,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9611780455153949,0.19317041785584022,0.20097256565224603,0.02
6,NR_025796.1,1,1435,1,1338,93.2404,0.932404,14.9,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.932404181184669,0.25105103882281504,0.269251300979626,0.02
7,NR_026075.1,1,1468,7,1396,95.0954,5.88896,17.6,8.71,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,5.888964577656676,2.0466130101851125,0.3475335915502308,0.16
8,NR_026331.1,1,1488,255,1488,100.0,244.36,19.9,7.44,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,244.36021505376345,31.623849002931305,0.1294148844809844,5.83
9,NR_026332.1,1,1487,4,1462,98.3188,3.72764,16.6,1.0,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,3.7276395427034297,0.6745912183683729,0.18097007788449765,0.09
10,NR_026476.1,1,1463,7,1428,97.6077,6.09364,16.9,1.86,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,6.093643198906356,1.5686981863408263,0.2574319065189713,0.16
11,NR_026493.1,1,1488,2,1451,97.5134,1.89516,19.3,10.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.8951612903225807,0.37891785049835136,0.19993963175232157,0.05
12,NR_027549.1,1,1473,17,1463,99.3211,15.8425,18.7,2.29,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,15.842498302783435,2.5357537843310363,0.16006022130269182,0.39
