index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,35,1471,98.7248,31.9034,18.3,8.91,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,31.903355704697987,5.949569000321073,0.186487247780175,0.24
1,NR_025230.1,1,1411,39,1411,100.0,36.0177,18.0,2.74,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,36.017717930545714,4.403831610117877,0.1222684796024542,0.27
2,NR_025514.1,1,1518,578,1509,99.4071,537.987,18.0,25.8,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,537.9874835309618,91.31027170855879,0.1697256432608135,3.98
3,NR_025518.1,1,1494,1,1402,93.842,0.93842,17.3,55.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.9384203480589023,0.24039051230843586,0.25616506803766276,0.01
4,NR_025525.1,1,1475,3,1435,97.2881,2.82508,21.7,56.7,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.825084745762712,0.5613976894319266,0.19871888454813816,0.02
5,NR_025567.1,1,1498,25,1457,97.263,23.3605,19.3,6.08,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,23.360480640854473,4.366346330323273,0.18691166493753966,0.17
6,NR_025569.1,1,1494,1,1402,93.842,0.93842,18.8,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9384203480589023,0.24039051230843592,0.2561650680376628,0.01
7,NR_025796.1,1,1435,4,1405,97.9094,3.59512,19.5,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.5951219512195123,0.8279801431991599,0.23030655272161163,0.03
8,NR_025981.1,1,1477,9,1444,97.7657,7.99323,18.0,6.78,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,7.99322951929587,2.0114654929625724,0.25164615730185663,0.06
9,NR_026100.1,1,1499,24,1449,96.6644,22.5704,19.4,2.5,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,22.570380253502336,4.423942144539846,0.19600654020232403,0.17
