index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,3,1462,98.1208,2.77114,31.6,8.0,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,2.7711409395973154,0.6434799790915996,0.23220759720186085,0.02
1,NR_025230.1,1,1411,8,1399,99.1495,7.79376,38.8,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,7.793763288447909,0.9580074396296304,0.1229197505972,0.04
2,NR_025514.1,1,1518,276,1509,99.4071,260.13,34.1,24.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,260.1304347826087,44.34139752936385,0.17045832244281608,1.38
3,NR_025518.1,1,1494,1,1441,96.4525,0.964525,42.6,57.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.964524765729585,0.18497767979914193,0.19178116142950594,0.01
4,NR_025525.1,1,1475,48,1471,99.7288,46.038,36.9,50.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,46.03796610169491,7.3451413157272585,0.15954530440163914,0.24
5,NR_025567.1,1,1498,53,1461,97.53,50.536,39.1,11.7,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,50.53604806408545,9.278963725912261,0.18361079034406255,0.27
6,NR_025796.1,1,1435,1,1302,90.7317,0.907317,35.1,7.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9073170731707317,0.2899875892234507,0.3196099773699322,0.01
7,NR_025862.1,1,1406,2,1386,98.5775,1.96871,41.5,60.0,46124,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,1.968705547652916,0.2424141327008242,0.12313376827216721,0.01
8,NR_025904.1,1,1536,1,1460,95.0521,0.950521,43.4,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.9505208333333334,0.21686626923668714,0.2281551983202407,0.01
9,NR_025981.1,1,1477,2,1423,96.3439,1.92011,39.3,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.920108327691266,0.3829232098072036,0.19942791991722136,0.01
