index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,8,1449,97.2483,7.49128,30.1,12.5,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,7.4912751677852345,1.4577694133633528,0.19459563034504532,0.08
1,NR_025230.1,1,1411,34,1408,99.7874,32.2523,32.4,2.56,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,32.25230333097094,4.11357022153786,0.12754345571305972,0.33
2,NR_025514.1,1,1518,479,1510,99.473,450.175,29.4,34.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,450.17523056653494,76.83408449786693,0.17067594856601292,4.7
3,NR_025518.1,1,1494,96,1466,98.1258,89.5201,33.1,47.7,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,89.52008032128514,19.28939921516227,0.21547566921223865,0.94
4,NR_025525.1,1,1475,4,1445,97.9661,3.65627,30.6,36.2,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,3.656271186440678,0.7219228051720016,0.19744782822709112,0.04
5,NR_025567.1,1,1498,58,1468,97.9973,55.1769,33.3,11.1,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,55.17690253671562,10.058245620308607,0.18229087096028423,0.57
6,NR_025796.1,1,1435,4,1341,93.4495,3.34425,32.6,3.25,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.3442508710801393,1.1137218482108344,0.3330258079146796,0.04
7,NR_025981.1,1,1477,2,1432,96.9533,1.76236,23.9,3.5,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.7623561272850372,0.4920402308888711,0.2791945528324482,0.02
8,NR_026075.1,1,1468,2,1298,88.4196,1.66417,22.6,1.0,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,1.6641689373297002,0.6742819806607825,0.40517640098650376,0.02
9,NR_026100.1,1,1499,18,1449,96.6644,17.1815,33.4,2.56,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,17.18145430286858,3.303286861466815,0.19225886256411398,0.18
10,NR_026312.1,1,1482,1,1107,74.6964,0.746964,28.9,7.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.7469635627530364,0.43475165171891744,0.5820252464746483,0.01
