index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,1,1337,94.7555,0.947555,27.7,3.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.9475549255846917,0.2229228310085802,0.2352611178407679,0.02
1,NR_025514.1,1,1518,3,1502,98.946,2.80237,27.6,18.3,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,2.802371541501976,0.5226815060996255,0.18651399300875213,0.05
2,NR_025518.1,1,1494,1,1441,96.4525,0.964525,39.8,57.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.964524765729585,0.1849776797991446,0.19178116142950868,0.02
3,NR_025525.1,1,1475,3,1445,97.9661,2.82915,32.6,53.7,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.8291525423728814,0.5291159500480254,0.18702277170401088,0.05
4,NR_025567.1,1,1498,34,1475,98.4646,32.4052,34.3,10.3,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,32.40520694259012,5.801399363084024,0.1790267648455981,0.62
5,NR_025796.1,1,1435,1,1309,91.2195,0.912195,28.7,23.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9121951219512195,0.28301092106068904,0.31025261399701204,0.02
6,NR_026100.1,1,1499,64,1468,97.932,61.2355,37.3,1.52,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,61.23549032688459,11.529463718324509,0.18828074465932151,1.17
7,NR_026330.1,1,1474,1,1428,96.8792,0.968792,39.2,8.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.9687924016282226,0.1738783602856986,0.17947948393635837,0.02
8,NR_026331.1,1,1488,1,1476,99.1935,0.991935,39.6,23.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9919354838709677,0.08943981053556026,0.09016696346674367,0.02
9,NR_026409.1,1,1495,10,1466,98.0602,9.50635,33.2,2.9,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,9.506354515050168,1.6327930462383053,0.1717580638985552,0.18
10,NR_026493.1,1,1488,12,1462,98.2527,11.5551,33.9,2.33,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,11.55510752688172,1.8384851581152462,0.1591058459506506,0.22
11,NR_026494.1,1,1499,1,1304,86.9913,0.869913,18.6,0.0,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,0.8699132755170114,0.33639882371416724,0.3867038625364545,0.02
12,NR_027196.1,1,1342,1,1313,97.839,0.97839,33.2,50.0,449673,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,0.9783904619970194,0.14540483441164737,0.14861636540779188,0.02
13,NR_027558.1,1,1365,1,1358,99.4872,0.994872,40.8,31.0,169435,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,0.9948717948717949,0.07142763219068778,0.07179581586177379,0.02
14,NR_028686.1,1,1522,19,1485,97.569,18.1827,38.7,59.1,67826,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sedlakii,18.182654402102497,3.5359261914920195,0.19446699658346656,0.35
15,NR_029097.1,1,1374,173,1322,96.2154,162.024,35.3,3.65,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,162.0240174672489,35.43600549938216,0.21870834986884027,3.17
16,NR_029356.1,1,1550,28,1459,94.129,25.4916,34.8,50.1,292800,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,25.491612903225807,6.646725653633688,0.26074166742083965,0.51
17,NR_036800.1,1,1481,9,1451,97.9743,8.63538,31.6,47.1,411470,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,8.63538149898717,1.3484945489634408,0.15615923270113816,0.16
