index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,8,1478,97.365,7.53953,18.3,31.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,7.5395256916996045,1.3593787958008658,0.18030030686113713,0.35
1,NR_025518.1,1,1494,1898,1464,97.992,1752.87,19.6,41.5,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1752.8708165997323,381.7160470919438,0.2177662172688842,82.77
2,NR_026075.1,1,1468,18,1420,96.7302,14.4121,17.5,4.94,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,14.412125340599456,4.587453581270455,0.31830514048801944,0.78
3,NR_026476.1,1,1463,9,1427,97.5393,8.22146,17.2,3.89,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,8.221462747778537,1.5782713900994298,0.19196965777481426,0.39
4,NR_026493.1,1,1488,1,1446,97.1774,0.971774,24.9,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9717741935483871,0.16561736111220082,0.17042782388309463,0.04
5,NR_028862.1,1,1537,5,1493,97.1373,4.74496,20.6,59.8,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,4.744957709824333,0.9003806836944196,0.18975525995315,0.22
6,NR_029097.1,1,1374,6,1321,96.1426,5.60335,22.0,1.0,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,5.60334788937409,1.2627298239253795,0.2253527442620433,0.26
7,NR_041277.1,1,1490,30,1459,97.9195,28.1685,20.3,58.4,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,28.168456375838925,4.831296006990008,0.17151440400312387,1.31
8,NR_041313.1,1,1485,1,1388,93.468,0.93468,16.0,39.0,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.9346801346801347,0.2470894180543977,0.26435719438817046,0.04
9,NR_041342.1,1,1488,8,1450,97.4462,7.59207,20.6,11.0,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,7.592069892473118,1.3383774944669693,0.17628624517720196,0.35
