index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,31,1410,99.9291,29.1977,18.3,1.84,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,29.19773210489015,3.5071894109032207,0.12011855572562853,0.18
1,NR_025514.1,1,1518,708,1509,99.4071,660.592,18.7,35.3,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,660.5922266139657,112.13768648446572,0.16975326376342043,4.15
2,NR_025518.1,1,1494,493,1463,97.925,453.468,18.8,39.4,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,453.46787148594376,99.1892365994564,0.21873487150132306,2.89
3,NR_025567.1,1,1498,44,1467,97.9306,41.259,19.2,8.05,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,41.25901201602136,7.501646607753939,0.18181837715457078,0.26
4,NR_025796.1,1,1435,14,1415,98.6063,12.2613,18.5,3.71,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,12.261324041811847,3.2519094882982427,0.2652168295372537,0.08
5,NR_025981.1,1,1477,25,1457,98.6459,22.4292,18.0,6.32,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,22.429248476641842,4.955854984032022,0.22095501724871094,0.15
6,NR_026075.1,1,1468,3,1293,88.079,2.38692,15.0,4.67,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,2.3869209809264307,1.0407988190648942,0.43604242762193623,0.02
7,NR_026100.1,1,1499,21,1467,97.8652,19.7505,19.1,1.81,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,19.750500333555703,3.819186065726082,0.1933716109073633,0.12
8,NR_026106.1,1,1489,2,1352,90.7992,1.69107,16.3,7.0,29322,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,1.6910678307588987,0.6304833084620313,0.37283147192214633,0.01
9,NR_026312.1,1,1482,3,1362,91.9028,2.43185,19.1,15.7,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,2.4318488529014846,0.9592284679927557,0.3944441147517381,0.02
