index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024898.1,1,1504,1,1445,96.0771,0.960771,22.8,1.0,85403,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,0.9607712765957447,0.19413868925159636,0.2020654592625612,0.01
1,NR_025230.1,1,1411,21,1409,99.8583,19.7675,19.8,1.9,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,19.767540751240254,2.53784304449714,0.1283843588048711,0.25
2,NR_025514.1,1,1518,928,1509,99.4071,872.145,19.4,33.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,872.1449275362319,148.32702118871697,0.1700715288314911,10.92
3,NR_025567.1,1,1498,12,1455,97.1295,11.2523,19.4,9.92,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,11.25233644859813,2.1425526654403453,0.19040958073265526,0.14
4,NR_025796.1,1,1435,3,1342,93.5192,2.70314,18.6,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.703135888501742,0.7855559688148156,0.2906091299946534,0.04
5,NR_025863.1,1,1411,1,1346,95.3933,0.953933,23.2,60.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.9539333805811481,0.2096294015499039,0.2197526638832945,0.01
6,NR_025981.1,1,1477,3,1432,96.9533,2.68043,20.0,10.7,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.680433310765064,0.686046498934899,0.25594611743542456,0.04
7,NR_026100.1,1,1499,5,1448,96.5977,4.63776,20.4,2.4,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,4.637758505670447,0.986331830254036,0.21267425396300346,0.06
8,NR_026312.1,1,1482,4,1435,96.8286,3.41161,18.4,4.5,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,3.4116059379217276,1.0807231228195417,0.3167784153517723,0.05
9,NR_026409.1,1,1495,1,1418,94.8495,0.948495,20.0,1.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.948494983277592,0.22102545096624593,0.23302753821899694,0.01
