index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,3,1441,96.7114,2.82685,25.1,3.0,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,2.8268456375838924,0.5858087821058804,0.20723055207449237,0.02
1,NR_025230.1,1,1411,31,1409,99.8583,27.9256,25.9,1.71,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,27.925584691708007,4.4566727770175945,0.15959102830677427,0.24
2,NR_025514.1,1,1518,657,1508,99.3412,619.919,29.5,34.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,619.9189723320158,104.52763764361553,0.16861500019978853,5.05
3,NR_025518.1,1,1494,1086,1466,98.1258,1010.15,33.4,47.9,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1010.1459170013387,218.93943920382338,0.2167404090032403,8.35
4,NR_025567.1,1,1498,19,1454,97.0628,18.032,33.2,11.6,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,18.03204272363151,3.3830313577816717,0.18761220842429083,0.15
5,NR_025796.1,1,1435,2,1345,93.7282,1.83345,26.2,3.5,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.8334494773519163,0.5140495950036501,0.28037292619925425,0.02
6,NR_025981.1,1,1477,1,1411,95.5315,0.955315,32.9,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9553148273527421,0.20661173246633902,0.2162760658063662,0.01
7,NR_026075.1,1,1468,19,1440,98.0926,15.5061,23.1,9.32,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,15.506130790190735,5.01557144937845,0.32345731615725365,0.15
8,NR_026100.1,1,1499,2,1446,96.4643,1.92061,36.0,10.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.9206137424949967,0.3792069208631227,0.1974404912726019,0.02
9,NR_026314.1,1,1458,1,869,59.6022,0.596022,13.8,1.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.5960219478737997,0.49069316841232247,0.8232803677159565,0.01
10,NR_026331.1,1,1488,2,1464,98.3871,1.95094,31.7,0.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.9509408602150538,0.2809099590698712,0.14398691667101907,0.02
11,NR_026476.1,1,1463,203,1456,99.5215,193.023,32.9,13.7,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,193.02323991797675,32.2552746203749,0.1671056533611261,1.56
12,NR_028812.1,1,1408,2,1356,96.3068,1.55895,26.8,7.5,156456,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,1.5589488636363635,0.5660288577799001,0.3630836591134849,0.02
13,NR_028862.1,1,1537,335,1533,99.7398,318.856,32.7,58.7,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,318.85556278464543,53.52627174003334,0.16786996366811044,2.58
14,NR_029097.1,1,1374,405,1323,96.2882,375.401,32.9,1.67,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,375.401018922853,85.16937503807722,0.2268757162206318,3.11
15,NR_029207.1,1,1426,36,1415,99.2286,32.5961,30.0,3.03,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,32.5960729312763,7.288068695302229,0.22358732325418396,0.28
16,NR_036869.2,1,1507,2,1441,95.6204,1.90113,36.5,1.0,84037,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Syntrophococcus,Syntrophococcus sucromutans,1.9011280690112806,0.4203421381769786,0.2211014318438767,0.02
17,NR_037088.1,1,1453,1,1408,96.903,0.96903,31.5,1.0,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,0.969029593943565,0.17323752481819454,0.1787742354835488,0.01
18,NR_040877.1,1,1494,10,1455,97.3896,8.59103,21.7,1.0,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,8.59103078982597,2.458643171895731,0.2861872145549063,0.08
19,NR_041277.1,1,1490,5,1449,97.2483,4.63423,28.2,6.6,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,4.634228187919463,0.9911197526220807,0.21386943249918902,0.04
20,NR_041278.1,1,1490,1,1440,96.6443,0.966443,34.1,1.0,470145,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,0.9664429530201343,0.1800860116107221,0.18633899812498328,0.01
21,NR_041342.1,1,1488,42,1481,99.5296,39.8535,29.7,6.38,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,39.85349462365591,6.504860766692655,0.16321933190851357,0.32
22,NR_041343.1,1,1492,54,1455,97.5201,50.9088,31.6,50.4,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,50.9088471849866,9.09222936710504,0.17859821759598607,0.42
23,NR_041351.1,1,1493,11,1452,97.2539,9.96651,27.5,1.45,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,9.966510381781648,2.2033776542237895,0.22107814769866382,0.08
24,NR_041364.1,1,1488,1,1406,94.4892,0.944892,29.7,1.0,1002367,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Leyella,Leyella stercorea,0.9448924731182796,0.2281900246783387,0.2414984044959943,0.01
25,NR_041446.1,1,1456,12,1446,99.3132,11.3249,27.8,3.83,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,11.324862637362637,1.6515352440835729,0.14583269545670946,0.09
26,NR_041464.1,1,1492,1,620,41.555,0.41555,33.1,1.0,387661,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,0.4155495978552279,0.49281652729751985,1.1859391269804833,0.01
27,NR_041541.1,1,1467,1,1290,87.9346,0.879346,14.0,1.0,407975,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella pleuritidis,0.8793456032719836,0.3257252113027423,0.37041774029544416,0.01
28,NR_041590.1,1,1342,2058,1311,97.69,1926.24,33.7,10.3,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,1926.2414307004472,418.5959604139216,0.21731230246756028,15.82
29,NR_041627.1,1,1481,2,1407,95.0034,1.63606,12.3,0.5,762982,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,1.6360567184334909,0.5756917989901105,0.3518776534479379,0.02
30,NR_041907.1,1,1485,1,1236,83.2323,0.832323,22.3,0.0,862515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella marshii,0.8323232323232324,0.37357900002307315,0.4488388471151,0.01
31,NR_042152.1,1,1456,8,1440,98.9011,6.73283,24.2,0.875,168384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,6.732829670329671,2.016257880113455,0.29946664015558405,0.06
32,NR_042825.1,1,1427,1,1352,94.7442,0.947442,18.9,1.0,883106,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,Paraeggerthella hongkongensis,0.9474421864050455,0.22314903052684829,0.23552785988299743,0.01
33,NR_042832.1,1,1456,1,1110,76.2363,0.762363,10.5,1.0,301302,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis,0.7623626373626373,0.4256358144189925,0.5583114826973452,0.01
34,NR_042842.1,1,1506,1,1425,94.6215,0.946215,30.0,0.0,28129,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,0.9462151394422311,0.22559266240848888,0.23841582427170824,0.01
35,NR_042927.1,1,1471,1,1458,99.1162,0.991162,31.2,1.0,655813,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,0.991162474507138,0.09359179256764448,0.09442628728875517,0.01
