index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025412.1,1,1466,1,1431,97.6126,0.976126,23.6,60.0,108981,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,0.9761255115961801,0.1526581056062068,0.15639188177407348,0.01
1,NR_025514.1,1,1518,278,1510,99.473,261.443,19.4,29.8,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,261.44268774703556,44.552026653588136,0.1704083867768962,2.46
2,NR_025525.1,1,1475,1,1423,96.4746,0.964746,23.2,53.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9647457627118644,0.18442173418924362,0.19116096832686882,0.01
3,NR_025567.1,1,1498,3,1451,96.8625,2.81575,20.5,15.7,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2.815754339118825,0.5875591596477587,0.2086684734832486,0.03
4,NR_025569.1,1,1494,4,1484,99.3307,3.82664,19.1,2.25,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.826639892904953,0.579721885648964,0.15149632624795387,0.04
5,NR_025796.1,1,1435,1,1316,91.7073,0.917073,20.1,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.9170731707317074,0.2757715907337097,0.30070838351282175,0.01
6,NR_025981.1,1,1477,1,1362,92.2139,0.922139,18.0,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9221394719025051,0.2679519849933487,0.29057641838118653,0.01
7,NR_026100.1,1,1499,5,1447,96.531,4.73449,21.6,1.8,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,4.734489659773182,0.9616831491605771,0.20312287453736863,0.04
8,NR_026312.1,1,1482,4,1370,92.4426,3.40081,18.0,16.5,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,3.4008097165991904,1.1244788951574705,0.3306503417903514,0.04
9,NR_026330.1,1,1474,1,1420,96.3365,0.963365,21.5,8.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.9633649932157394,0.18786400150688135,0.19500812550784727,0.01
10,NR_026331.1,1,1488,751,1488,100.0,714.792,19.6,2.25,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,714.7916666666666,94.03696731008546,0.13155856691588755,6.65
11,NR_026332.1,1,1487,6064,1487,100.0,5791.18,19.9,31.4,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,5791.183591123066,752.9437270736944,0.13001551672922845,53.66
12,NR_026409.1,1,1495,4,1453,97.1906,3.73043,20.2,2.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,3.7304347826086954,0.7443725185789666,0.19954041873328943,0.04
13,NR_026493.1,1,1488,3,1454,97.7151,2.84341,18.5,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.8434139784946235,0.5239656073198572,0.18427341614085266,0.03
14,NR_026494.1,1,1499,2,1441,96.1308,1.75717,15.8,0.0,84030,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1.7571714476317546,0.5111240258539727,0.2908788590566078,0.02
15,NR_027549.1,1,1473,115,1473,100.0,107.682,18.1,3.3,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,107.68228105906314,15.088049058649874,0.14011635814414222,1.02
16,NR_028726.1,1,1502,1,1394,92.8096,0.928096,20.3,1.0,94868,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.9280958721704394,0.2583291006267594,0.2783431199005686,0.01
17,NR_028862.1,1,1537,15,1494,97.2023,14.1496,19.4,59.3,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,14.14964216005205,2.533777323132264,0.17907006371410195,0.13
18,NR_029097.1,1,1374,120,1322,96.2154,110.171,19.6,2.03,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,110.17103347889375,24.107305106233902,0.21881709143494882,1.06
19,NR_029207.1,1,1426,1,1172,82.1879,0.821879,19.6,17.0,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.8218793828892006,0.3826142481284069,0.46553576606749847,0.01
20,NR_029356.1,1,1550,20,1461,94.2581,18.0761,20.4,40.0,292800,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,18.076129032258063,4.737837860908057,0.262104671440056,0.18
21,NR_036800.1,1,1481,75,1458,98.447,71.1026,19.3,48.7,411470,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,71.10263335584065,10.673801903866895,0.15011823613407851,0.66
22,NR_036869.2,1,1507,1,1355,89.9137,0.899137,17.3,1.0,84037,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Syntrophococcus,Syntrophococcus sucromutans,0.8991373589913736,0.3011467560133971,0.3349285323337191,0.01
23,NR_036936.1,1,1471,1,1449,98.5044,0.985044,23.3,4.0,113107,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,0.9850441876274643,0.1213760110104693,0.12321884899682564,0.01
24,NR_040866.1,1,1425,1,1352,94.8772,0.948772,17.4,1.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.9487719298245614,0.22046259320242384,0.23236626872296892,0.01
25,NR_041277.1,1,1490,144,1489,99.9329,135.366,19.4,57.1,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,135.36577181208054,22.591345589522465,0.16689112237977377,1.27
