index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,1,1492,98.2872,0.982872,36.8,38.0,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,0.9828722002635046,0.12974759424621984,0.13200861130412983,1.75
1,NR_025518.1,1,1494,6,1455,97.3896,5.80254,39.4,50.5,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,5.802543507362785,0.9820171351507054,0.16923908177588579,10.53
2,NR_026331.1,1,1488,1,1484,99.7312,0.997312,41.9,4.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9973118279569892,0.05177785022650155,0.05191741316511746,1.75
3,NR_027549.1,1,1473,1,1468,99.6606,0.996606,41.1,1.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.9966055668703326,0.05816279698738312,0.058360899156958676,1.75
4,NR_029097.1,1,1374,2,1319,95.9971,1.87555,40.1,1.0,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,1.8755458515283843,0.43476837231202586,0.23180898081362963,3.51
5,NR_041277.1,1,1490,3,1469,98.5906,2.93154,37.0,59.0,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,2.931543624161074,0.39033409340303576,0.13314967929728097,5.26
6,NR_041342.1,1,1488,1,1460,98.1183,0.981183,37.2,14.0,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,0.9811827956989247,0.1358790532913989,0.13848495294356272,1.75
7,NR_041590.1,1,1342,12,1308,97.4665,11.5149,39.3,11.1,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,11.514903129657228,2.110085415348091,0.18324821247635656,21.05
8,NR_074902.1,1,1542,2,1504,97.5357,1.92996,42.0,1.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,1.9299610894941635,0.33826040597048884,0.17526799260970893,3.51
9,NR_102980.1,1,1552,5,1523,98.1314,4.77384,39.7,0.8,1064535,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,4.773840206185567,0.823940241071939,0.17259485141633812,8.77
10,NR_112945.1,1,1477,1,1465,99.1875,0.991875,40.7,58.0,820,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.991875423155044,0.08976952765859,0.09050484119572522,1.75
11,NR_113165.1,1,1466,1,1457,99.3861,0.993861,40.9,1.0,147207,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,0.9938608458390177,0.07811187455931248,0.0785943775593357,1.75
12,NR_133027.1,1,1519,1,1513,99.605,0.99605,44.5,1.0,1232428,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,0.9960500329163924,0.06272451549151982,0.06297325778692571,1.75
13,NR_134080.1,1,1566,1,1515,96.7433,0.967433,39.0,1.0,879612,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera indica,0.9674329501915708,0.177500526971625,0.18347579223601634,1.75
14,NR_178978.1,1,1529,2,1453,95.0294,1.89012,40.5,10.5,1676614,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter,Xylanibacter rarus,1.8901242642249836,0.44408832280283456,0.23495191888080763,3.51
15,NR_179270.1,1,1482,16,1482,100.0,15.6424,39.1,59.8,2654621,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium wakonense,15.642375168690958,0.9266116788482553,0.05923727495699743,28.07
16,NR_179932.1,1,1396,1,1348,96.5616,0.965616,37.4,1.0,2144175,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii,0.9656160458452722,0.1822133306084204,0.18870163911673213,1.75
