index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,20,1406,92.6219,18.2253,37.5,27.1,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,18.225296442687746,5.259093925515294,0.2885601308079309,0.12
1,NR_025518.1,1,1494,9452,1494,100.0,8441.73,39.1,28.4,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,8441.731593038821,2743.7916150136116,0.325027109044332,57.42
2,NR_025569.1,1,1494,1,1360,91.0308,0.910308,38.0,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9103078982597055,0.2857401417821834,0.31389394986954555,0.01
3,NR_025904.1,1,1536,1,1384,90.1042,0.901042,37.8,10.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.9010416666666666,0.2986060642338361,0.33140094990113605,0.01
4,NR_026075.1,1,1468,122,1337,91.0763,96.3917,38.8,4.84,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,96.391689373297,40.364330054427775,0.41875321738691035,0.74
5,NR_026314.1,1,1458,1,1264,86.6941,0.866941,38.5,6.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.8669410150891632,0.3396384716803085,0.39176652825149505,0.01
6,NR_026331.1,1,1488,14,1389,93.3468,12.8017,40.3,2.43,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,12.801747311827956,3.463181482273123,0.27052412439615764,0.09
7,NR_026332.1,1,1487,10,1388,93.3423,9.21722,40.2,5.7,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,9.217215870880969,2.517035338561062,0.27307978611121403,0.06
8,NR_026476.1,1,1463,165,1354,92.5496,147.673,37.5,2.01,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,147.67327409432673,43.34024904517834,0.2934874256088792,1.0
9,NR_028736.1,1,1544,1,1405,90.9974,0.909974,43.0,60.0,1338,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,0.9099740932642487,0.28621887228510484,0.31453518776384476,0.01
