index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024946.1,1,1458,5,1382,94.7874,4.08573,38.5,1.2,296,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,4.085733882030178,1.5450001808449227,0.37814508371191835,0.02
1,NR_025230.1,1,1411,9,1353,95.8894,8.18356,39.3,1.78,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,8.18355776045358,2.0140292042940944,0.2461067989312347,0.04
2,NR_025452.1,1,1380,1,1319,95.5797,0.955797,32.1,1.0,158787,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.9557971014492753,0.20554562099553442,0.21505152158744315,0.0
3,NR_025514.1,1,1518,171,1406,92.6219,154.304,38.4,23.7,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,154.30434782608697,44.46313769300897,0.2881522025751497,0.72
4,NR_025518.1,1,1494,49,1357,90.83,43.6841,38.9,24.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,43.68406961178046,14.224224695118398,0.3256158325341212,0.21
5,NR_025567.1,1,1498,5,1389,92.7236,4.59079,41.0,22.8,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,4.5907877169559415,1.3124017848671785,0.28587725370525424,0.02
6,NR_025796.1,1,1435,2,1281,89.2683,1.7547,31.4,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.7547038327526132,0.6322658490877016,0.36032624838794747,0.01
7,NR_025981.1,1,1477,1,1321,89.4381,0.894381,33.7,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.8943805010155721,0.30734999661412865,0.3436456813013384,0.0
8,NR_026075.1,1,1468,8,1330,90.5995,6.95845,39.3,5.25,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,6.958446866485014,2.330707412528903,0.33494649844272434,0.03
9,NR_026312.1,1,1482,2,1111,74.9663,1.45142,38.4,28.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,1.451417004048583,0.8650517073198812,0.5960049420028192,0.01
10,NR_026314.1,1,1458,1,692,47.4623,0.474623,40.0,1.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.47462277091906724,0.4993555809682864,1.0521104581672855,0.0
11,NR_026331.1,1,1488,2,1389,93.3468,1.84677,43.2,11.5,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1.846774193548387,0.5126520992036394,0.2775932764246781,0.01
12,NR_026476.1,1,1463,1,1320,90.2256,0.902256,38.4,1.0,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,0.9022556390977443,0.29696868658844394,0.32914029430219205,0.0
13,NR_026493.1,1,1488,1,1365,91.7339,0.917339,42.7,3.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9173387096774194,0.2753695724018666,0.30018309431060625,0.0
14,NR_027528.1,1,1459,1,1095,75.0514,0.750514,35.7,1.0,147207,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,0.750514050719671,0.4327155074549801,0.5765588359605626,0.0
15,NR_027549.1,1,1473,1,1356,92.057,0.92057,43.6,20.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.9205702647657841,0.2704083068155236,0.2937399970053586,0.0
16,NR_028740.1,1,1533,1,1341,87.4755,0.874755,34.6,1.0,100134,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans,0.8747553816046967,0.330996078463653,0.37838701587231915,0.0
17,NR_028862.1,1,1537,35,1431,93.1034,31.3709,38.9,56.4,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,31.37085230969421,8.669775428171969,0.276364038266593,0.15
18,NR_028866.1,1,1486,1,1352,90.9825,0.909825,37.6,2.0,752555,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella baroniae,0.9098250336473755,0.2864322638878635,0.31482126045663106,0.0
19,NR_029097.1,1,1374,165,1286,93.5953,150.037,38.4,1.16,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,150.03711790393012,41.949153971365355,0.27959184072187865,0.69
20,NR_029137.1,1,1514,71,1379,91.0832,63.9967,38.7,11.8,78257,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,63.99669749009247,20.25206063666956,0.3164547770579075,0.3
21,NR_029207.1,1,1426,119,1418,99.439,116.14,39.6,2.41,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,116.14025245441795,11.715836895325292,0.10087662673131743,0.5
22,NR_036853.1,1,1514,1,1307,86.3276,0.863276,39.7,1.0,1683,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,0.8632760898282695,0.3435556469614241,0.39796729112440404,0.0
23,NR_036856.1,1,1517,8,1378,90.8372,6.72116,38.3,5.12,78448,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,6.721160184574819,2.238432619492336,0.3330425935435341,0.03
25,NR_040877.1,1,1494,82,1401,93.7751,70.2323,38.3,1.28,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,70.23226238286479,21.563585575228615,0.3070324782886345,0.34
26,NR_041277.1,1,1490,273,1398,93.8255,249.85,38.8,54.2,484018,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,249.8496644295302,65.79613789298244,0.26334291079882627,1.14
27,NR_041278.1,1,1490,1,1370,91.9463,0.919463,39.8,1.0,470145,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,0.9194630872483222,0.2721226165464859,0.2959581742001927,0.0
28,NR_041342.1,1,1488,9,1395,93.75,8.27285,38.7,40.7,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,8.272849462365592,2.2172380496320825,0.26801382760784226,0.04
29,NR_041343.1,1,1492,533,1399,93.7668,489.316,38.7,50.5,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,489.3156836461126,130.6147516420582,0.2669335073602967,2.23
