index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024640.1,1,1422,2,1416,99.5781,1.85373,18.3,7.0,61645,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae,1.8537271448663855,0.365124534303124,0.1969677874730813,0.02
1,NR_025127.1,1,1453,1,927,63.799,0.63799,15.2,13.0,140626,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.6379903647625602,0.48058158436700493,0.7532740475569129,0.01
2,NR_025230.1,1,1411,1,1378,97.6612,0.976612,20.1,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.9766123316796598,0.15113135111841736,0.15475060698700066,0.01
3,NR_025514.1,1,1518,593,1509,99.4071,554.657,18.7,35.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,554.6567852437418,94.58267042576861,0.17052467930092052,6.05
4,NR_025567.1,1,1498,20,1455,97.1295,18.6475,18.1,8.1,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,18.647530040053404,3.5153578616255436,0.18851600475102256,0.2
5,NR_025796.1,1,1435,3,1408,98.1185,2.75401,19.1,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.754006968641115,0.6336468531021229,0.23008179003075566,0.03
6,NR_025981.1,1,1477,2,1366,92.4848,1.77861,18.8,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.7786052809749493,0.5680526111589961,0.31938093135966394,0.02
7,NR_026100.1,1,1499,27,1470,98.0654,25.3869,20.1,2.44,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,25.38692461641094,4.904395091051207,0.19318586891304057,0.28
8,NR_026312.1,1,1482,2,1369,92.3752,1.82119,21.6,1.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,1.821187584345479,0.5471153094578454,0.3004167797764086,0.02
9,NR_026330.1,1,1474,2,1432,97.1506,1.85821,15.4,1.0,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,1.8582089552238805,0.4226986310937013,0.22747637175323687,0.02
