index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024815.1,1,1490,5,1452,97.4497,4.64027,33.8,17.0,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella shahii,4.640268456375839,0.9373616739535133,0.20200591469348203,0.03
1,NR_024816.1,1,1493,1,1295,86.7381,0.867381,15.4,1.0,228604,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella salivae,0.8673811118553248,0.33916237800196397,0.39101886514048817,0.01
2,NR_025230.1,1,1411,7,1402,99.3622,6.26435,30.1,2.71,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.264351523742027,1.1835144727418379,0.18892848976566728,0.05
3,NR_025514.1,1,1518,503,1508,99.3412,476.843,32.8,31.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,476.84255599472993,81.27058114070418,0.170434832459883,3.44
4,NR_025518.1,1,1494,2506,1464,97.992,2352.19,35.2,49.1,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,2352.189424364123,510.3386959660595,0.2169632643867623,17.13
5,NR_025566.1,1,1362,1,1345,98.7518,0.987518,35.6,1.0,1300165,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,0.9875183553597651,0.1110218590517658,0.11242510931487362,0.01
6,NR_025567.1,1,1498,36,1476,98.5314,34.4219,34.7,14.4,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,34.4218958611482,6.17638823039806,0.1794319596838161,0.25
7,NR_025796.1,1,1435,3,1410,98.2578,2.76794,32.4,1.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.7679442508710803,0.6234250877993411,0.2252303627875263,0.02
8,NR_025904.1,1,1536,1,1464,95.3125,0.953125,38.8,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.953125,0.21137108216357317,0.22176638128637186,0.01
9,NR_026075.1,1,1468,8,1418,96.594,6.6846,26.2,1.0,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,6.6846049046321525,2.4030197950604864,0.35948568828582433,0.05
