index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024570.1,1,1450,1,1322,91.1724,0.911724,18.5,1.0,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.9117241379310345,0.2836956718826452,0.3111639366337637,0.01
1,NR_024946.1,1,1458,202,1458,100.0,195.398,20.2,8.72,296,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,195.39849108367628,15.27757523278513,0.07818676156635597,2.37
2,NR_025230.1,1,1411,17,1408,99.7874,15.7605,18.3,4.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,15.76045357902197,2.1557092639533155,0.13677964616593796,0.2
3,NR_025514.1,1,1518,605,1510,99.473,568.182,19.7,35.3,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,568.1824769433465,96.48081193207076,0.16980603212388556,7.11
4,NR_025518.1,1,1494,523,1474,98.6613,484.053,19.7,42.1,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,484.0528781793842,105.01565773043926,0.21695079703982612,6.14
5,NR_025525.1,1,1475,4,1444,97.8983,3.71051,20.3,43.2,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,3.710508474576271,0.7259766623900324,0.19565422565782895,0.05
6,NR_025567.1,1,1498,17,1458,97.3298,16.0868,20.4,9.06,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,16.086782376502004,2.96223654037475,0.18414102155703274,0.2
7,NR_025569.1,1,1494,1,1404,93.9759,0.939759,16.5,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9397590361445783,0.23793274286905314,0.2531848417709155,0.01
8,NR_025796.1,1,1435,3,1351,94.1463,2.69756,18.2,3.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.6975609756097563,0.7744803645878614,0.28710393262298656,0.04
9,NR_025863.1,1,1411,1,1367,96.8816,0.968816,24.0,60.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.9688164422395464,0.17381353079048242,0.17940811407854476,0.01
10,NR_025981.1,1,1477,3,1435,97.1564,2.6933,17.1,3.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.693297224102911,0.6520960644443409,0.24211812146412556,0.04
11,NR_026075.1,1,1468,4,1303,88.7602,2.94414,18.3,4.5,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,2.944141689373297,1.28378581047311,0.436047563575781,0.05
12,NR_026100.1,1,1499,8,1469,97.9987,7.4056,20.2,3.5,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,7.405603735823883,1.4668661890883308,0.19807516597094024,0.09
13,NR_026312.1,1,1482,3,1253,84.5479,2.23279,18.7,20.7,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,2.2327935222672064,1.1265074575136635,0.5045282719961467,0.04
14,NR_026331.1,1,1488,268,1486,99.8656,256.05,20.0,8.78,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,256.0497311827957,33.55506547874069,0.13104901662554563,3.15
15,NR_026409.1,1,1495,2,1464,97.9264,1.89498,17.7,1.0,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,1.8949832775919733,0.3680486140838712,0.19422261844524794,0.02
16,NR_026476.1,1,1463,4,1421,97.1292,3.48052,17.6,1.0,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,3.4805194805194803,0.8847437871087984,0.2541987746543936,0.05
17,NR_026493.1,1,1488,6,1464,98.3871,5.71707,20.8,3.67,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,5.717069892473118,0.9396745120856528,0.16436295685711194,0.07
18,NR_027527.1,1,1458,1,1309,89.7805,0.897805,14.6,1.0,147206,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,0.8978052126200274,0.3029042964573721,0.3373830895606177,0.01
19,NR_027549.1,1,1473,15,1457,98.9138,14.0197,19.7,6.27,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,14.01968771215207,2.070782270064122,0.14770530646479357,0.18
20,NR_027579.1,1,1402,1,1282,91.4408,0.914408,17.9,18.0,471875,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.9144079885877318,0.27976064590051075,0.3059472898225555,0.01
