index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024841.1,1,1460,13,1401,95.9589,12.2158,40.8,4.54,888807,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,12.215753424657533,2.584601088856014,0.21157934341069698,0.17
1,NR_024898.1,1,1504,2,1395,92.7527,1.65226,40.3,8.5,85403,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,1.6522606382978724,0.6097241233014833,0.36902417764403656,0.03
2,NR_024899.1,1,1504,1,1376,91.4894,0.914894,41.3,3.0,85402,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia granulomatis,0.9148936170212766,0.2790399372043407,0.3049971406652096,0.01
3,NR_025518.1,1,1494,1,1326,88.755,0.88755,35.1,27.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.8875502008032129,0.31591904320155956,0.355944985326644,0.01
4,NR_025724.1,1,1434,1,1142,79.6374,0.796374,43.4,9.0,203482,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Volucribacter,Volucribacter psittacicida,0.796373779637378,0.40269415533808606,0.505659736212623,0.01
5,NR_025863.1,1,1411,4,1403,99.433,3.93905,38.9,60.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,3.93905031892275,0.39554421814738544,0.10041613742460613,0.05
6,NR_025903.1,1,1537,1,1385,90.1106,0.901106,42.5,15.0,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,0.9011060507482108,0.2985195739866541,0.3312812889656948,0.01
7,NR_025904.1,1,1536,6,1401,91.2109,5.41536,39.6,6.67,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,5.415364583333333,1.7038172132730873,0.3146265015132799,0.08
8,NR_026030.1,1,1466,1,1337,91.2005,0.912005,31.1,0.0,51048,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus porcinus,0.9120054570259208,0.2832869629560479,0.3106198112891296,0.01
9,NR_026032.1,1,1405,13,1402,99.7865,12.4954,38.7,3.92,749,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,12.495373665480427,1.2641286729028862,0.10116773669563427,0.17
10,NR_026331.1,1,1488,3203,1389,93.3468,2963.72,40.9,13.1,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,2963.7170698924733,793.7070511140672,0.26780796965307613,43.03
11,NR_026332.1,1,1487,11,1388,93.3423,10.1204,38.6,4.73,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,10.120376597175522,2.742410519972813,0.27097909782706975,0.15
12,NR_027549.1,1,1473,68,1374,93.279,59.7094,39.3,8.47,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,59.709436524100475,17.482599997414464,0.29279459018773313,0.91
13,NR_028682.1,1,1538,2,1407,91.4824,1.81469,40.4,40.0,137732,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella elegans,1.8146944083224967,0.566849657935995,0.3123664542836117,0.03
14,NR_028736.1,1,1544,5,1411,91.386,4.55052,39.1,60.0,1338,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,4.550518134715026,1.4041158008916568,0.308561741613538,0.07
