index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,2,1344,95.2516,1.86818,40.4,3.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.8681785967399007,0.4576162460267978,0.24495315749006513,0.01
1,NR_025514.1,1,1518,148,1406,92.6219,134.454,38.4,24.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,134.45388669301713,38.710763824571586,0.2879110807183682,0.57
2,NR_025518.1,1,1494,7,1352,90.4953,6.06961,38.7,28.1,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,6.069611780455154,2.047096153220592,0.33726970146797136,0.03
3,NR_025569.1,1,1494,1,1143,76.506,0.76506,41.0,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.7650602409638554,0.42396116409428863,0.5541539625169443,0.0
4,NR_026100.1,1,1499,1,1264,84.3229,0.843229,32.3,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.8432288192128086,0.36358489746107636,0.4311817731757543,0.0
5,NR_026331.1,1,1488,1784,1392,93.5484,1650.56,40.7,12.5,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1650.5604838709678,441.5730849502198,0.2675291752499872,6.93
6,NR_026332.1,1,1487,50,1388,93.3423,45.9798,40.7,2.36,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,45.97982515131137,12.834191544420843,0.2791265843701192,0.19
7,NR_026476.1,1,1463,1,1318,90.0889,0.900889,36.7,1.0,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,0.9008885850991114,0.29881154987254444,0.3316853546764283,0.0
8,NR_026493.1,1,1488,1,1361,91.4651,0.914651,30.4,1.0,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9146505376344086,0.2794010229750356,0.30547297735992135,0.0
9,NR_027549.1,1,1473,51,1374,93.279,45.2573,39.8,6.94,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,45.257298031228785,13.174361635843733,0.29109916431053967,0.2
