index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024570.1,1,1450,5,1413,97.4483,4.70552,18.0,3.8,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,4.705517241379311,0.889500387497337,0.18903349873532735,0.06
1,NR_024946.1,1,1458,1,1430,98.0796,0.980796,20.8,10.0,296,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,0.9807956104252401,0.1372427812157031,0.13993005245629028,0.01
2,NR_025230.1,1,1411,37,1411,100.0,33.5776,18.4,1.86,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,33.57760453579022,4.617338007852675,0.13751243043353717,0.48
3,NR_025514.1,1,1518,834,1508,99.3412,782.769,19.4,36.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,782.7687747035573,132.79721392521154,0.1696506276396925,10.78
4,NR_025934.1,1,1470,1,1403,95.4422,0.954422,19.0,60.0,2718,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.954421768707483,0.208568588538069,0.2185287420890673,0.01
5,NR_026331.1,1,1488,932,1488,100.0,887.921,19.7,2.75,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,887.9206989247311,115.90585446143895,0.13053626816201103,12.05
6,NR_027549.1,1,1473,81,1473,100.0,73.7542,19.0,5.32,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,73.75424304141208,12.31414543747922,0.16696185778172765,1.05
7,NR_028736.1,1,1544,1,1431,92.6813,0.926813,17.9,60.0,1338,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,0.9268134715025906,0.2604424323030084,0.28100846644014327,0.01
8,NR_028862.1,1,1537,131,1519,98.8289,122.089,19.5,59.2,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,122.08913467794405,21.122390019812432,0.17300794272586723,1.69
9,NR_029207.1,1,1426,50,1400,98.1767,45.6543,18.4,3.6,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,45.65427769985975,8.336815682653008,0.1826075474780454,0.65
10,NR_037086.1,1,1479,15,1438,97.2279,14.1765,19.0,0.0667,1559,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tertium,14.176470588235293,2.518752008670887,0.17767130351620367,0.19
11,NR_041590.1,1,1342,1152,1306,97.3174,1064.58,20.5,6.64,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,1064.5767511177348,232.47246138309873,0.21837078551548125,14.9
12,NR_042877.1,1,1360,1,1335,98.1618,0.981618,22.2,1.0,733,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Canicola,Canicola haemoglobinophilus,0.9816176470588235,0.13432960225327387,0.13684513787599437,0.01
13,NR_043656.1,1,1540,7,1496,97.1429,5.99091,16.3,0.857,349094,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sueciensis,5.990909090909091,1.4941167584360315,0.2493973344885637,0.09
14,NR_043657.1,1,1553,416,1520,97.8751,373.599,18.7,9.58,349095,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,373.5988409529942,84.25535756709856,0.2255236053521362,5.38
