index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,17,1411,100.0,16.1495,33.2,1.71,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,16.149539333805812,2.0339860772769005,0.12594700289804303,0.29
1,NR_025514.1,1,1518,563,1508,99.3412,533.101,32.8,33.2,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,533.100790513834,90.6785995610179,0.17009653929347304,9.71
2,NR_025567.1,1,1498,20,1455,97.1295,18.9065,35.1,12.8,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,18.906542056074766,3.569911710120813,0.18881885960599457,0.34
3,NR_026100.1,1,1499,2,1446,96.4643,1.91394,35.3,1.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.913942628418946,0.38647808422179813,0.20192772682066065,0.03
4,NR_026331.1,1,1488,1,1464,98.3871,0.983871,42.0,19.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,0.9838709677419355,0.12597176896623635,0.12803687993289598,0.02
5,NR_029097.1,1,1374,133,1322,96.2154,123.706,34.2,1.44,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,123.70596797671034,27.680375907497037,0.22375942212188435,2.29
6,NR_029207.1,1,1426,3,1394,97.756,2.78612,29.2,1.0,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,2.7861150070126226,0.5628550474546671,0.20202146933560414,0.05
7,NR_040877.1,1,1494,2,1475,98.7282,1.94779,33.5,0.5,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,1.9477911646586346,0.27371179456046124,0.14052419968155638,0.03
8,NR_041342.1,1,1488,44,1488,100.0,42.3112,33.9,8.8,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,42.311155913978496,6.804930554139228,0.16083064636603459,0.76
9,NR_041343.1,1,1492,51,1473,98.7265,48.4685,33.9,52.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,48.46849865951743,8.40055849337812,0.17331996504349242,0.88
10,NR_041351.1,1,1493,4,1444,96.718,3.62894,29.7,8.5,357276,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,3.6289350301406564,0.8403863202395359,0.23157932375740625,0.07
11,NR_041446.1,1,1456,1,1408,96.7033,0.967033,32.2,1.0,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,0.967032967032967,0.17855029460738223,0.18463723646899752,0.02
12,NR_041508.1,1,1461,1,1343,91.9233,0.919233,33.8,1.0,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,0.919233401779603,0.27247633811452693,0.29641692478430665,0.02
13,NR_041590.1,1,1342,1557,1311,97.69,1466.23,35.7,7.15,742816,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,1466.2287630402384,317.446444278256,0.21650539962128965,26.85
14,NR_041668.1,1,1484,2,1364,91.9137,1.8093,37.0,0.0,742726,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,1.809299191374663,0.5621913176138772,0.3107232459363105,0.03
15,NR_043656.1,1,1540,1,1247,80.974,0.80974,23.7,5.0,349094,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sueciensis,0.8097402597402598,0.3925060145985493,0.48473076381857727,0.02
16,NR_043657.1,1,1553,133,1511,97.2956,120.193,31.7,10.7,349095,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,120.19253058596266,27.591531607635062,0.22956111726012274,2.29
17,NR_044289.1,1,1454,1,1335,91.8157,0.918157,19.5,1.0,460384,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster lavalensis,0.9181568088033012,0.2741256705444391,0.29856084267536664,0.02
18,NR_044473.1,1,1399,42,1398,99.9285,38.985,29.2,7.95,491921,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,38.98498927805576,5.054858792167063,0.1296616694213737,0.72
19,NR_074376.1,1,1497,4,1449,96.7936,3.80428,29.9,1.0,435591,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,3.8042752171008685,0.7542587342661707,0.19826607992914091,0.07
20,NR_074515.1,1,1510,8,1450,96.0265,7.59868,34.7,20.1,435590,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,7.598675496688742,1.589451434169984,0.20917480090610735,0.14
21,NR_074902.1,1,1542,1,1462,94.8119,0.948119,40.3,0.0,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.9481193255512321,0.22178609078909534,0.23392212858877223,0.02
22,NR_102980.1,1,1552,653,1526,98.3247,612.95,35.9,1.48,1064535,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,612.9497422680413,133.29860499163914,0.21747069261895213,11.26
23,NR_112901.1,1,1469,4,1455,99.047,3.85977,34.5,0.0,762983,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,3.859768550034037,0.5782019035989053,0.1498022215849721,0.07
24,NR_112931.1,1,1490,1,1250,83.8926,0.838926,10.1,1.0,85831,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,0.8389261744966443,0.3675990318826592,0.43817804600412974,0.02
25,NR_112938.1,1,1478,1,1450,98.1055,0.981055,40.5,0.0,204516,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,0.9810554803788903,0.13632910473349028,0.1389616667559301,0.02
26,NR_112946.1,1,1489,10,1455,97.7166,9.54466,35.8,1.0,821,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,9.544660846205508,1.8257320589817294,0.19128307316519808,0.17
27,NR_113064.1,1,1490,47,1454,97.5839,44.7362,35.7,1.0,1236538,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,44.736241610738254,8.668052232114922,0.19375906245182403,0.81
28,NR_113164.1,1,1466,3,1423,97.0668,2.84379,29.3,1.0,147206,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,2.8437926330150067,0.5596898581836561,0.19681106550665387,0.05
29,NR_113165.1,1,1466,6,1427,97.3397,5.64188,32.8,9.0,147207,Bacteria,unclassified Bacteria kingdom,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,5.6418826739427015,1.0332099426974661,0.18313212138731536,0.1
30,NR_113195.1,1,1490,16,1476,99.0604,14.3497,30.3,2.94,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,14.3496644295302,2.987763055416525,0.2082113536584174,0.28
