index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024896.1,1,1504,3,1479,98.3378,2.89694,35.2,1.0,85401,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia glucosida,2.8969414893617023,0.47056010851478003,0.162433418224978,0.04
1,NR_024898.1,1,1504,13,1468,97.6064,12.4109,31.8,9.38,85403,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia ruminalis,12.41090425531915,2.1998037222363425,0.17724765875085496,0.16
2,NR_024899.1,1,1504,2,1459,97.008,1.9262,36.8,1.0,85402,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia granulomatis,1.9261968085106382,0.35804567578349644,0.1858821872207037,0.03
3,NR_024946.1,1,1458,113,1456,99.8628,111.289,37.4,11.8,296,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,111.28943758573388,8.30859939842621,0.07465757378839773,1.43
4,NR_025230.1,1,1411,8,1402,99.3622,7.07087,30.6,2.88,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,7.070871722182849,1.172841995801964,0.16586950547023868,0.1
5,NR_025514.1,1,1518,109,1497,98.6166,103.671,32.1,37.4,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,103.67061923583663,17.82408012837894,0.1719299089728747,1.38
6,NR_025567.1,1,1498,14,1453,96.996,13.3999,36.0,12.5,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,13.399866488651535,2.4537755945528166,0.18311940619937825,0.18
7,NR_025863.1,1,1411,19,1389,98.4408,18.4444,36.8,58.5,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,18.444365698086465,2.761533729312154,0.1497223474374428,0.24
8,NR_025903.1,1,1537,1,1448,94.2095,0.942095,26.7,1.0,1379,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,0.9420949902407287,0.2335637377763297,0.24791952000153225,0.01
9,NR_025904.1,1,1536,1,1464,95.3125,0.953125,41.2,1.0,29391,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella morbillorum,0.953125,0.21137108216357317,0.22176638128637186,0.01
10,NR_025981.1,1,1477,7,1444,97.7657,6.04265,29.6,1.14,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,6.042654028436019,1.6304301587344405,0.2698202066611506,0.09
11,NR_026032.1,1,1405,4,1402,99.7865,3.8669,33.5,1.0,749,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified Pasteurellaceae genus,[Pasteurella] aerogenes,3.8669039145907473,0.49345252705963216,0.12760920311407753,0.05
12,NR_026100.1,1,1499,122,1469,97.9987,116.501,37.7,1.5,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,116.50100066711141,21.90340167651289,0.18801041665813165,1.55
13,NR_026312.1,1,1482,2,1108,74.7638,1.47503,37.9,24.5,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,1.475033738191633,0.8683893323849207,0.5887250643158519,0.03
