index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,3,1398,99.0787,2.59603,36.2,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.5960311835577605,0.5745227425741156,0.22130810531588238,0.05
1,NR_025514.1,1,1518,248,1508,99.3412,237.691,37.3,30.8,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,237.69104084321475,39.9404703450074,0.16803523684913663,3.83
2,NR_025518.1,1,1494,1829,1465,98.0589,1730.55,38.7,52.8,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1730.5475234270416,368.02541612168244,0.2126641488543889,28.27
3,NR_025525.1,1,1475,12,1465,99.322,11.5112,37.4,59.1,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,11.511186440677966,1.80668540473446,0.15695040767909352,0.19
4,NR_025567.1,1,1498,14,1455,97.1295,13.4192,37.2,12.9,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,13.419225634178906,2.439211047696371,0.1817698810789555,0.22
5,NR_025863.1,1,1411,1,1377,97.5904,0.975904,40.8,60.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.9759036144578314,0.15334845857057788,0.15713484026367858,0.02
6,NR_026075.1,1,1468,1,1171,79.7684,0.797684,34.3,1.0,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.797683923705722,0.40172662541480475,0.5036162989828636,0.02
7,NR_026100.1,1,1499,10,1454,96.998,9.61574,40.0,2.2,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,9.615743829219479,1.8268380301893175,0.1899840576698895,0.15
8,NR_026314.1,1,1458,1,821,56.31,0.5631,40.3,1.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,0.5631001371742113,0.49600239181741385,0.880842250024104,0.02
9,NR_026332.1,1,1487,4,1463,98.386,3.92266,40.5,57.5,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,3.9226630800269,0.5148149844294251,0.13124119352761102,0.06
