index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024917.1,1,1514,1,1035,68.362,0.68362,14.4,1.0,1286820,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.6836195508586526,0.46506328659922147,0.6802954743103587,0.01
1,NR_025230.1,1,1411,2,1399,99.1495,1.93692,18.8,1.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,1.9369241672572644,0.27587403899321283,0.14242893121823028,0.02
2,NR_025514.1,1,1518,455,1504,99.0777,425.013,18.2,24.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,425.01317523056656,72.77629980452475,0.17123304416397006,4.93
3,NR_025525.1,1,1475,1,1415,95.9322,0.959322,21.6,60.0,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9593220338983051,0.19754308182147268,0.2059194669163761,0.01
4,NR_025567.1,1,1498,22,1461,97.53,20.4359,18.3,9.82,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,20.435914552736982,3.8223525526509854,0.1870409343700773,0.24
5,NR_025569.1,1,1494,1,1405,94.0428,0.940428,15.4,1.0,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.9404283801874164,0.23669144877981796,0.25168471493028327,0.01
6,NR_025796.1,1,1435,2,1343,93.5889,1.81045,18.2,3.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.8104529616724738,0.530887893160571,0.2932348447595917,0.02
7,NR_025981.1,1,1477,2,1433,97.021,1.83074,16.9,1.0,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.8307379823967502,0.44742889624662563,0.24439810641873744,0.02
8,NR_026100.1,1,1499,22,1469,97.9987,20.5997,19.5,4.32,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,20.599733155436958,4.003987329966698,0.19437083479452313,0.24
9,NR_026312.1,1,1482,6,1443,97.3684,5.13023,17.1,17.7,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,5.130229419703104,1.468487181842962,0.2862420101921964,0.07
10,NR_026314.1,1,1458,2,1447,99.2455,1.63992,18.5,2.5,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.639917695473251,0.4954918785719522,0.30214435757336106,0.02
11,NR_026330.1,1,1474,5,1443,97.8969,4.69199,18.7,5.6,53442,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,4.691994572591588,0.8536637999126214,0.1819404917685373,0.05
12,NR_026331.1,1,1488,752,1488,100.0,716.901,18.9,9.26,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,716.9005376344086,92.87628086921895,0.12955253343188625,8.15
13,NR_026332.1,1,1487,7,1463,98.386,6.53531,17.4,0.857,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,6.5353059852051105,1.0527117561538546,0.1610807142828547,0.08
14,NR_026409.1,1,1495,9,1454,97.2575,8.45151,18.2,2.78,29370,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,8.451505016722408,1.580871042596238,0.18705201493323118,0.1
15,NR_026493.1,1,1488,12,1466,98.5215,11.3266,17.9,3.17,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,11.326612903225806,1.8270786749794559,0.1613084768226789,0.13
16,NR_027549.1,1,1473,52,1467,99.5927,48.499,18.1,3.77,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,48.4989816700611,7.175344773751495,0.14794835946382162,0.56
17,NR_028726.1,1,1502,1,1312,87.3502,0.873502,17.3,1.0,94868,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,0.8735019973368842,0.3324097742025027,0.3805483847958529,0.01
18,NR_028862.1,1,1537,7,1495,97.2674,6.60247,19.0,60.0,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,6.602472348731295,1.219583908126929,0.18471624623483346,0.08
