index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024570.1,1,1450,1,1327,91.5172,0.915172,16.0,1.0,562,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.9151724137931034,0.2786249572906367,0.3044507822693468,0.01
1,NR_024643.1,1,1438,1,1416,98.4701,0.984701,19.4,1.0,548,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,0.9847009735744089,0.12273942404957051,0.12464639250231808,0.01
2,NR_025127.1,1,1453,1,1341,92.2918,0.922918,18.5,4.0,140626,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.9229181004817619,0.2667213532600993,0.28899785703722913,0.01
3,NR_025230.1,1,1411,12,1408,99.7874,11.1524,18.5,2.08,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,11.152374202693126,1.5107081865673968,0.1354606794132306,0.13
4,NR_025514.1,1,1518,273,1499,98.7484,255.447,18.7,33.9,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,255.44664031620553,43.68537333165679,0.17101565038232916,2.96
5,NR_025518.1,1,1494,1294,1465,98.0589,1190.3,18.5,40.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1190.2985274431057,259.71270923179645,0.2181912379490953,14.02
6,NR_025566.1,1,1362,1,1034,75.9178,0.759178,14.6,17.0,1300165,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,0.7591776798825257,0.427582658968661,0.5632181639413116,0.01
7,NR_025567.1,1,1498,4,1455,97.1295,3.74833,19.6,10.0,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.748331108144192,0.7559822953094414,0.20168503621968714,0.04
8,NR_025569.1,1,1494,3,1475,98.7282,2.75703,15.7,0.667,208962,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,2.7570281124497993,0.5394734435211535,0.19567208657941326,0.03
9,NR_025796.1,1,1435,4,1396,97.2822,3.65923,19.8,3.0,259063,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,3.6592334494773517,0.9184008055190147,0.2509817474613952,0.04
10,NR_026075.1,1,1468,6,1419,96.6621,4.85082,17.0,3.33,13335,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,4.850817438692098,1.479728834765693,0.3050473149046535,0.06
11,NR_026100.1,1,1499,1,1420,94.7298,0.947298,20.9,2.0,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.9472981987991995,0.22343751106515536,0.23586818949765342,0.01
12,NR_026331.1,1,1488,561,1488,100.0,532.681,18.6,1.42,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,532.6807795698925,70.84885362998185,0.13300433645679502,6.08
13,NR_026332.1,1,1487,143,1487,100.0,134.57,18.1,4.65,622,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,134.5696032279758,18.390857390346266,0.1366642759523495,1.55
14,NR_026476.1,1,1463,11,1442,98.5646,10.0574,17.5,0.909,83771,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,10.057416267942584,1.943701297111854,0.19326050004585038,0.12
15,NR_026493.1,1,1488,3,1452,97.5806,2.83132,19.3,6.33,69825,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.8313172043010755,0.5503301906458228,0.19437249553310806,0.03
16,NR_027549.1,1,1473,85,1468,99.6606,78.9925,18.1,3.22,585054,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,78.99253224711474,12.79635571251417,0.16199449933422747,0.92
17,NR_028862.1,1,1537,23,1494,97.2023,21.6675,18.3,59.2,209880,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,21.667534157449577,3.854807132857208,0.17790705231365128,0.25
18,NR_029097.1,1,1374,182,1323,96.2882,166.841,18.8,1.6,237576,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,166.84133915574964,37.41726838977578,0.22426856904358716,1.97
19,NR_029207.1,1,1426,3,1394,97.756,2.74895,14.5,1.0,907,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,2.7489481065918655,0.5933971788720729,0.215863361497851,0.03
20,NR_036800.1,1,1481,1,1299,87.711,0.87711,19.0,1.0,411470,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,0.8771100607697502,0.32831083147869894,0.37430973165508324,0.01
21,NR_037088.1,1,1453,2,1428,98.2794,1.8947,18.6,1.0,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,1.894700619408121,0.3586404652626012,0.1892860864607917,0.02
22,NR_040877.1,1,1494,4,1455,97.3896,3.64525,19.1,0.75,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella,Segatella copri,3.64524765729585,0.8040981288256989,0.22058806545457108,0.04
23,NR_041342.1,1,1488,46,1452,97.5806,42.8562,18.6,6.85,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,42.85618279569893,7.423590300914593,0.17322098741980418,0.5
24,NR_041343.1,1,1492,46,1476,98.9276,42.9799,19.0,48.5,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,42.979892761394105,7.343514801508497,0.17085930954450107,0.5
