index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025230.1,1,1411,11,1411,100.0,10.1552,21.9,3.0,187326,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,10.155209071580439,1.4304101331646848,0.1408548187518578,0.12
1,NR_025514.1,1,1518,427,1508,99.3412,401.791,29.4,33.6,158847,Bacteria,unclassified Bacteria kingdom,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,401.79117259552044,68.14053331493088,0.16959191232289053,4.47
2,NR_025518.1,1,1494,1,1375,92.0348,0.920348,24.2,47.0,179995,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.9203480589022758,0.2707535953170123,0.2941860882935392,0.01
3,NR_025525.1,1,1475,10,1461,99.0508,9.58712,31.6,39.3,185008,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,9.587118644067797,1.4879300271130276,0.15520096103470163,0.1
4,NR_025567.1,1,1498,48,1476,98.5314,45.3271,32.1,9.5,208479,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,45.32710280373832,8.137901880304529,0.17953721674073908,0.5
5,NR_025863.1,1,1411,1,1368,96.9525,0.969525,38.1,60.0,46125,Bacteria,unclassified Bacteria kingdom,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.969525159461375,0.17188986192550698,0.17729283273164498,0.01
6,NR_025981.1,1,1477,6,1433,97.021,5.46919,32.9,6.33,831,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,5.469194312796208,1.299926653113459,0.23768156309093574,0.06
7,NR_026100.1,1,1499,80,1469,97.9987,76.3029,35.4,1.88,1286362,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,76.3028685790527,14.53344920774106,0.19047054820335949,0.84
8,NR_026312.1,1,1482,1,1364,92.0378,0.920378,36.2,1.0,180164,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,0.9203778677462888,0.27070731114819174,0.2941262720832992,0.01
9,NR_026314.1,1,1458,2,1317,90.3292,1.43964,19.9,10.0,53443,Bacteria,unclassified Bacteria kingdom,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia hydrogenotrophica,1.4396433470507544,0.6631536113939561,0.46063742992491097,0.02
10,NR_026331.1,1,1488,4,1464,98.3871,3.91331,37.1,0.0,623,Bacteria,unclassified Bacteria kingdom,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,3.913306451612903,0.5235171918604299,0.1337787363023046,0.04
